left,right,time
25935,39701,1509599201.844981
25935,39701,1509599201.945217
25935,39701,1509599202.045322
25935,39701,1509599202.145454
25935,39701,1509599202.245556
25935,39701,1509599202.345680
25935,39701,1509599202.445801
25935,39701,1509599202.545905
25935,39701,1509599202.646067
25935,39701,1509599202.746181
25935,39701,1509599202.846294
25935,39701,1509599202.946401
25935,39701,1509599203.046547
25935,39701,1509599203.146691
25935,39701,1509599203.246824
25935,39701,1509599203.346953
25935,39701,1509599203.447076
25935,39701,1509599203.547239
25935,39701,1509599203.647352
25935,39701,1509599203.747472
25935,39701,1509599203.847583
25935,39701,1509599203.947735
25935,39701,1509599204.047900
25935,39701,1509599204.148067
25935,39701,1509599204.248213
25935,39701,1509599204.348329
25935,39701,1509599204.448447
25935,39701,1509599204.548598
25935,39701,1509599204.648732
25935,39701,1509599204.748855
25935,39701,1509599204.849006
25935,39701,1509599204.949170
25935,39701,1509599205.049334
25935,39701,1509599205.149473
25935,39701,1509599205.249627
25935,39701,1509599205.349802
25935,39701,1509599205.449974
25935,39701,1509599205.550079
25935,39701,1509599205.650181
25935,39701,1509599205.750315
25935,39701,1509599205.850478
25935,39701,1509599205.950619
25935,39701,1509599206.050754
25935,39701,1509599206.150918
25935,39701,1509599206.251082
25935,39701,1509599206.351255
25935,39701,1509599206.451422
25935,39701,1509599206.551588
25935,39701,1509599206.651752
25935,39701,1509599206.751917
25935,39701,1509599206.852082
25935,39701,1509599206.952248
25935,39701,1509599207.052415
25935,39701,1509599207.152545
25935,39701,1509599207.252678
25935,39701,1509599207.352809
25935,39701,1509599207.452922
25935,39701,1509599207.553092
25935,39701,1509599207.653258
25935,39701,1509599207.753368
25935,39701,1509599207.853502
25935,39701,1509599207.953633
25935,39701,1509599208.053765
25935,39701,1509599208.153863
25935,39701,1509599208.254007
25935,39701,1509599208.354111
25935,39701,1509599208.454210
25935,39701,1509599208.554322
25935,39701,1509599208.654445
25935,39701,1509599208.754588
25935,39701,1509599208.854735
25935,39701,1509599208.954907
25935,39701,1509599209.055036
25935,39701,1509599209.155170
25935,39701,1509599209.255302
25935,39701,1509599209.355460
25935,39701,1509599209.455624
25935,39701,1509599209.555788
25935,39701,1509599209.655906
25935,39701,1509599209.756002
25935,39701,1509599209.856160
25959,39722,1509599209.956324
25976,39741,1509599210.056487
25997,39761,1509599210.156629
26029,39794,1509599210.256792
26051,39817,1509599210.356959
26124,39886,1509599210.457126
26172,39938,1509599210.557290
26319,40082,1509599210.657454
26480,40243,1509599210.757620
26581,40345,1509599210.857728
26844,40607,1509599210.957889
26976,40738,1509599211.058036
27280,41039,1509599211.158139
27508,41264,1509599211.258239
27901,41655,1509599211.358369
28184,41937,1509599211.458501
28356,42109,1509599211.558637
28756,42507,1509599211.658802
28931,42684,1509599211.758966
29279,43033,1509599211.859099
29631,43380,1509599211.959255
29864,43610,1509599212.059421
30218,43960,1509599212.159565
30392,44133,1509599212.259723
30802,44538,1509599212.359887
31037,44774,1509599212.460055
31268,45005,1509599212.560220
31684,45415,1509599212.660385
31863,45595,1509599212.760550
32100,45831,1509599212.860715
32583,46307,1509599212.960880
32762,46485,1509599213.061045
33121,46842,1509599213.161188
33480,47201,1509599213.261344
33663,47382,1509599213.361508
34083,47802,1509599213.461612
34325,48042,1509599213.561722
34692,48410,1509599213.661837
35004,48716,1509599213.762005
35188,48901,1509599213.862152
35616,49324,1509599213.962320
35859,49566,1509599214.062419
36227,49930,1509599214.162571
36412,50114,1509599214.262711
36777,50476,1509599214.362844
37146,50841,1509599214.462998
37515,51211,1509599214.563114
37762,51456,1509599214.663218
38008,51700,1509599214.763375
38381,52073,1509599214.863542
38629,52319,1509599214.963713
39064,52752,1509599215.063894
39312,53002,1509599215.164059
39565,53255,1509599215.264223
39946,53630,1509599215.364390
40139,53823,1509599215.464557
40521,54200,1509599215.564755
40892,54581,1509599215.664846
41126,54857,1509599215.765003
41461,55278,1509599215.865141
41800,55696,1509599215.965303
42027,55974,1509599216.065437
42249,56248,1509599216.165554
42624,56761,1509599216.265681
