raw_accel_x,raw_accel_y,raw_accel_z,world_accel_x,world_accel_y,yaw,fused_heading,x,y,z,left_encoder_rate,right_encoder_rate,left_input,right_input,fpga time,navx time
0.0238037,0.0198364,0.943176,0,0,-0.76,359.23,7.62939e-05,-0.000396729,0,0,0,-0.0078125,-0,175.185,204358
0.0238037,0.0198364,0.943176,0,0,-0.76,359.23,7.62939e-05,-0.000396729,0,0,0,-0.0078125,-0,175.194,204358
0.0206909,0.0209961,0.940796,-0.003,0,0,359.99,0,0,0,0,0,-0.0078125,-0,175.213,204388
0.0265503,0.0216064,0.952148,0.001,0,0,0,0,0,0,0,0,-0.0078125,-0,175.231,204403
0.026001,0.0205688,0.933472,0.001,0,0,359.99,0,0,0,0,0,-0.0078125,-0,175.251,204418
0.0244751,0.0234375,0.950562,0,0.002,0,359.99,0,0,0,0,0,-0.0078125,-0,175.271,204448
0.0202637,0.0248413,0.942993,-0.004,0.003,0,359.99,0,0,0,0,0,-0.0078125,-0,175.294,204463
0.0298462,0.0210571,0.958984,0.004,0,0,359.99,0,0,0,0,0,-0.0078125,-0,175.31,204478
0.0240479,0.0181274,0.952698,0,-0.002,0,359.99,0,0,0,0,0,-0.0078125,-0,175.336,204508
0.0264893,0.0202637,0.945618,0.001,0,0,359.99,0,0,0,0,0,-0.0078125,-0,175.352,204523
0.0272217,0.0222778,0.950867,0.002,0.001,0,359.99,0,0,0,0,0,-0.0078125,-0,175.372,204538
0.0223389,0.0257568,0.955383,-0.002,0.004,0,359.99,0,0,0,0,0,-0.0078125,-0,175.424,204598
0.0223389,0.0257568,0.955383,-0.002,0.004,0,359.99,0,0,0,0,0,-0.0078125,-0,175.43,204598
0.0237427,0.0227051,0.947571,0,0.001,0,359.99,0,0,0,0,0,-0.0078125,-0,175.45,204628
0.0263062,0.0205688,0.944397,0.001,0,0,359.99,0,0,0,0,0,-0.0078125,-0,175.47,204643
0.0246582,0.0204468,0.948059,0,0,0,0,0,0,0,0,0,-0.0078125,-0,175.49,204658
0.0227051,0.0217896,0.947388,-0.001,0,0,0,0,0,0,0,0,-0.0078125,-0,175.51,204673
0.0224609,0.0219727,0.943176,-0.002,0.001,0,0,0,0,0,0,0,-0.0078125,-0,175.531,204703
0.0256958,0.0202026,0.953247,0,0,0,0,0,0,0,0,0,-0.0078125,-0,175.55,204718
0.0239868,0.0194702,0.949219,0,-0.001,0,359.99,0,0,0,0,0,-0.0078125,-0,175.571,204748
0.02771,0.0219727,0.94519,0.003,0.001,0,359.99,0,0,0,0,0,-0.0078125,-0,175.59,204763
0.0222778,0.0206909,0.945496,-0.002,0,0,359.99,0,0,0,0,0,-0.0078125,-0,175.611,204778
