raw_accel_x,raw_accel_y,raw_accel_z,world_accel_x,world_accel_y,yaw,fused_heading,x,y,z,left_encoder_rate,right_encoder_rate,left_input,right_input,fpga time,navx time
0.0393066,0.0262451,0.941284,0.001,0.004,-105.39,254.6,3.78784,1.51228,0,0,0,-0.0078125,-0.023622,2191.94,2221374
0.0393066,0.0262451,0.941284,0.001,0.004,-105.39,254.6,3.78784,1.51228,0,0,0,-0.0078125,-0.023622,2191.95,2221374
0.0361328,0.0278931,0.949707,0,-0.001,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2191.97,2221389
0.0335083,0.0285034,0.948792,-0.002,0,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2191.99,2221419
0.0332031,0.0319824,0.957214,-0.003,0.002,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2192.01,2221434
0.0371704,0.0247803,0.947021,0.001,-0.004,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2192.03,2221449
0.03302,0.0287476,0.95166,-0.003,0,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.05,2221479
0.0361328,0.0272827,0.948608,0,-0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.07,2221494
0.0358276,0.0301514,0.95343,0,0,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.09,2221509
0.0335083,0.032959,0.958801,-0.002,0.003,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.11,2221539
0.038208,0.0269165,0.944275,0.002,-0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.13,2221554
0.0361938,0.0304565,0.952271,0,0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.17,2221599
0.0361938,0.0304565,0.952271,0,0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.17,2221599
0.0378418,0.0288086,0.945007,0.002,0,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.19,2221614
0.0358887,0.0298462,0.940186,0,0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.22,2221645
0.0332642,0.0270996,0.947266,-0.002,-0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.23,2221659
0.0350952,0.0286255,0.949463,0,0,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.25,2221674
0.0375366,0.0245361,0.942017,0.001,-0.004,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.27,2221705
0.0375977,0.0263672,0.948608,0.001,-0.002,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.29,2221719
0.0367432,0.0343628,0.950195,0,0.005,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.31,2221734
0.0379639,0.0270386,0.951111,0.002,-0.002,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.33,2221749
0.0351562,0.0308838,0.956238,0,0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.35,2221779
0.0354004,0.0265503,0.942383,0,-0.002,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.37,2221794
0.0371094,0.0291138,0.956177,0.001,0,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.42,2221854
0.0371094,0.0291138,0.956177,0.001,0,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.42,2221854
0.0371094,0.0291138,0.956177,0.001,0,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.43,2221854
0.0384521,0.0266113,0.948853,0.002,-0.002,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.45,2221869
0.0366821,0.0294189,0.945862,0,0,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.47,2221899
0.0351562,0.0308838,0.945312,0,0.002,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.49,2221914
0.0368652,0.02771,0.944275,0.001,-0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.51,2221944
0.0349731,0.0305176,0.95166,0,0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.53,2221959
0.0374146,0.0305786,0.946045,0.001,0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.55,2221974
0.0358887,0.0280151,0.945312,0,0,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.57,2222004
0.0355835,0.0229492,0.949341,0,-0.006,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.59,2222019
0.0361938,0.0280151,0.944458,0,0,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.61,2222034
0.0378418,0.0265503,0.950439,0.001,-0.002,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.63,2222049
0.036377,0.0285645,0.949219,0,0,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.65,2222079
0.0341797,0.0322876,0.949341,-0.001,0.003,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.67,2222094
0.0338135,0.0296021,0.94574,-0.002,0,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.69,2222109
0.0379639,0.0275879,0.950134,0.002,-0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.71,2222139
0.0390015,0.0305176,0.947632,0.003,0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.73,2222154
0.039856,0.02771,0.946411,0.004,-0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.75,2222184
0.0374146,0.0284424,0.952637,0.001,0,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.77,2222199
0.0379639,0.0264893,0.94342,0.002,-0.002,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.79,2222214
0.0375977,0.0281372,0.951172,0.001,-0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.81,2222229
0.0351562,0.0289917,0.947571,0,0,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.83,2222259
0.0361938,0.0318604,0.951477,0,0.002,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.85,2222274
0.036499,0.0266724,0.949585,0,-0.002,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.89,2222319
0.0362549,0.0281372,0.940979,0,0,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.91,2222334
0.0366821,0.0258179,0.949036,0,-0.003,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.93,2222364
0.038269,0.0302734,0.9505,0.002,0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.95,2222379
0.0387573,0.024231,0.94696,0.002,-0.004,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.97,2222394
0.0353394,0.0252686,0.940796,0,-0.003,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2192.99,2222409
0.0337524,0.0309448,0.943604,-0.002,0.002,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.01,2222439
0.0365601,0.0284424,0.952026,0,0,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.03,2222454
0.0404663,0.0274048,0.946045,0.004,-0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.06,2222499
0.0404663,0.0274048,0.946045,0.004,-0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.07,2222499
0.0368652,0.0266113,0.949097,0,-0.002,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.09,2222514
0.0379028,0.0266113,0.941589,0.002,-0.002,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.11,2222529
0.0314941,0.0297852,0.945374,-0.004,0,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.13,2222559
0.0352173,0.0286255,0.951477,0,0,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.15,2222574
0.0374756,0.0316162,0.95459,0.001,0.002,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.17,2222604
0.0355835,0.0305786,0.946716,0,0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.19,2222619
0.0370483,0.0274658,0.949829,0,-0.001,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.21,2222634
0.0378418,0.0276489,0.950439,0.001,-0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.23,2222649
0.0373535,0.0271606,0.950745,0.001,-0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.25,2222679
0.0379639,0.0296631,0.948486,0.001,0,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.27,2222694
0.0357056,0.0305176,0.949646,0,0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.29,2222724
0.0319824,0.0328979,0.949707,-0.004,0.003,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.31,2222739
0.0378418,0.0291748,0.952881,0.001,0,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.33,2222754
0.0359497,0.027771,0.95459,0,-0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.35,2222784
0.0357666,0.0291138,0.946167,0,0,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.37,2222799
0.0370483,0.0308838,0.954102,0,0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.39,2222814
0.0397949,0.0259399,0.937195,0.004,-0.002,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.41,2222829
0.0366821,0.0270996,0.944885,0,-0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.43,2222859
0.0346069,0.0325317,0.953186,-0.001,0.003,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.45,2222874
0.0372925,0.027771,0.949402,0.001,-0.001,-0.05,359.94,0,0,0,0,0,-0.0078125,-0.023622,2193.47,2222888
0.034668,0.0290527,0.950012,-0.001,0,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.49,2222918
0.0328979,0.0308838,0.950195,-0.003,0.001,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.51,2222933
0.0396729,0.0274658,0.947632,0.003,-0.001,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.53,2222948
0.0344849,0.0271606,0.948547,-0.001,-0.001,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.55,2222978
0.0349121,0.026123,0.949341,-0.001,-0.002,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.57,2222993
0.0362549,0.0269775,0.942322,0,-0.001,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.59,2223008
0.0348511,0.0285034,0.947571,-0.001,0,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.61,2223038
0.0380249,0.0298462,0.958252,0.001,0,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.63,2223053
0.0386353,0.0328979,0.948975,0.002,0.003,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.65,2223084
0.0372925,0.0308838,0.948181,0.001,0.001,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.67,2223098
0.0343018,0.0254517,0.954346,-0.002,-0.003,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.69,2223113
0.0391846,0.0289917,0.945984,0.003,0,-0.07,359.92,0,0,0,0,0,-0.0078125,-0.023622,2193.71,2223128
0.0393066,0.0255737,0.942627,0.003,-0.003,-0.07,359.92,0,0,0,0,0,-0.0078125,-0.023622,2193.73,2223158
0.0308228,0.0308228,0.958008,-0.005,0.001,-0.07,359.92,0,0,0,0,0,-0.0078125,-0.023622,2193.75,2223173
0.0377808,0.0274658,0.940552,0.001,-0.001,-0.07,359.92,0,0,0,0,0,-0.0078125,-0.023622,2193.77,2223188
0.0358887,0.0293579,0.944519,0,0,-0.07,359.92,0,0,0,0,0,-0.0078125,-0.023622,2193.79,2223218
0.0337524,0.0328979,0.961182,-0.002,0.003,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.81,2223233
0.0325317,0.0308228,0.948914,-0.003,0.001,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.83,2223264
0.0335693,0.0291138,0.947083,-0.002,0,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.85,2223278
0.0357056,0.0309448,0.949768,0,0.001,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.87,2223293
0.0352173,0.0268555,0.951904,-0.001,-0.002,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.89,2223324
0.0372314,0.0296631,0.941223,0.001,0,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.91,2223338
0.0383301,0.0321655,0.954956,0.001,0.002,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.93,2223353
0.0328979,0.0302734,0.957397,-0.003,0,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.95,2223384
0.0379639,0.0294189,0.943726,0.001,0,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.97,2223398
0.0316772,0.0321045,0.95459,-0.004,0.002,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2193.99,2223413
0.0372314,0.0285645,0.935059,0.001,0,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2194.01,2223444
0.0339966,0.0297852,0.951904,-0.002,0,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2194.03,2223458
0.0366821,0.0272827,0.937378,0,-0.001,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2194.05,2223473
0.0383301,0.0300293,0.940735,0.002,0.001,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2194.07,2223504
0.0342407,0.0288696,0.954773,-0.002,0,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2194.09,2223518
0.0363159,0.0283203,0.944153,0,0,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2194.11,2223533
0.0355225,0.0270386,0.945435,0,-0.001,-0.06,359.93,0,0,0,0,0,-0.0078125,-0.023622,2194.13,2223563
0.0361938,0.0282593,0.942688,0,0,-0.07,359.92,0,0,0,0,0,-0.0078125,-0.023622,2194.15,2223578
0.0352783,0.0328979,0.944092,0,0.003,-0.07,359.92,0,0,0,0,0,-0.0078125,-0.023622,2194.17,2223593
