raw_accel_x,raw_accel_y,raw_accel_z,world_accel_x,world_accel_y,yaw,fused_heading,x,y,z,left_encoder_rate,right_encoder_rate,left_motor,right_motor,temp,fpga time,navx time
0.0273438,-0.00012207,1.01672,0,0,-3.58,356.41,-0.0788879,-0.467468,0,0,0,0.00763359,0,36.51,251.077,2453938
0.0272217,-0.00250244,1.01947,0,-0.002,-3.58,356.41,-0.0788879,-0.467468,0,0,0,0.00763359,0,36.51,251.087,2453954
0.0279541,-0.000671387,1.01953,0,0,0,0,0,0,0,0,0,0.00763359,0,36.51,251.103,2453968
0.0288086,6.10352e-05,1.01361,0,0,0,0,0,0,0,0,0,0.00763359,0,36.51,251.123,2453983
0.0288086,-0.00360107,1.0155,0,-0.003,0,0,0,0,0,0,0,0.00763359,0,36.51,251.144,2454014
0.0283813,0.000183105,1.01709,0,0,0,0,0,0,0,0,0,0.00763359,0,36.52,251.163,2454029
0.027832,-0.000549316,1.01703,0,0,0,0,0,0,0,0,0,0.00763359,0,36.52,251.183,2454044
0.0282593,0.000366211,1.01202,0,0,0,0,0,0,0,0,0,0.00763359,0,36.52,251.203,2454074
0.0261841,-0.000976562,1.01782,-0.001,-0.001,0,0,0,0,0,0,0,0.00763359,0,36.52,251.223,2454089
0.0256348,0.00170898,1.01581,-0.002,0.001,0,0,0,0,0,0,0,0.00763359,0,36.52,251.243,2454104
0.0280762,-0.00109863,1.02039,0,-0.001,0,0,0,0,0,0,0,0.00763359,0,36.52,251.263,2454134
0.0292358,-0.000427246,1.02063,0.001,0,0,0,0,0,0,0,0,0.00763359,0,36.52,251.283,2454149
0.0299072,0.00256348,1.01923,0.001,0.002,0,0,0,0,0,0,0,0.00763359,0,36.52,251.303,2454164
0.0263672,-0.000732422,1.02161,-0.001,-0.001,0,0,0,0,0,0,0,0.00763359,0,36.52,251.323,2454194
0.0296631,-0.000549316,1.01532,0.001,0,0,0,0,0,0,0,0,0.00763359,0,36.52,251.343,2454209
0.0253296,0.000305176,1.02216,-0.002,0,0,0,0,0,0,0,0,0.00763359,0,36.52,251.363,2454239
0.0281982,0.00158691,1.01099,0,0.001,0,0,0,0,0,0,0,0.00763359,0,36.52,251.383,2454254
0.0285645,0.00109863,1.01965,0,0,0,0,0,0,0,0,0,0.00763359,0,36.52,251.404,2454269
0.0280762,0.00396729,1.01416,0,0.003,0,0,0,0,0,0,0,0.00763359,0,36.52,251.424,2454299
0.0302734,-0.000671387,1.02246,0.002,-0.001,0,0,0,0,0,0,0,0.00763359,0,36.52,251.443,2454314
0.0287476,0.000610352,1.02179,0,0,0,0,0,0,0,0,0,0.00763359,0,36.52,251.464,2454329
0.0256958,0.00146484,1.01495,-0.002,0.001,0,0,0,0,0,0,0,0.00763359,0,36.52,251.484,2454344
0.0289917,-0.00109863,1.02423,0,-0.001,0,0,0,0,0,0,0,0.00763359,0,36.52,251.504,2454374
0.0288086,0.00189209,1.01801,0,0.001,0,0,0,0,0,0,0,0.00763359,0,36.52,251.524,2454389
0.0285645,0.000183105,1.0188,0,0,0,0,0,0,0,0,0,0.00763359,0,36.52,251.543,2454404
0.0270996,0.00109863,1.01556,0,0,0,0,0,0,0,0,0,0.00763359,0,36.52,251.564,2454434
0.0299072,-0.00231934,1.0199,0.001,-0.002,0,0,0,0,0,0,0,0.00763359,0,36.52,251.583,2454449
