initial_acc_x,initial_acc_y,initial_acc_z,expected_acc_x,expected_acc_y, expected_acc_z,expected_acc_gradually_x, expected_acc_gradually_y, expected_acc_gradually_z, final_acc_x, final_acc_y, final_acc_z
-0.217275,0.000926404,0.999908,-0.133048,-0.148021,0.979994,-0.119576,-0.116338,1.00955,-0.120787,-0.113469,1.00802
-0.120787,-0.113469,1.00802,-0.0636394,-0.20264,0.977183,-0.00160359,-0.244248,0.991922,0.00154461,-0.236971,0.991878
0.00154461,-0.236971,0.991878,0.0973997,-0.212139,0.972373,0.0602724,-0.206728,0.996798,0.0546948,-0.199995,0.999907
0.0546948,-0.199995,0.999907,0.304463,-0.113563,0.94573,0.276182,-0.0445048,0.982109,0.278977,0.017137,0.986735
0.278977,0.017137,0.986735,0.258224,-0.00455385,0.966074,0.280872,0.00918335,0.986301,0.279211,-0.00320465,0.984676
0.279211,-0.00320465,0.984676,-0.193436,0.212942,0.957725,0.0297087,0.242181,0.993989,0.0326333,0.241573,0.993066
0.0326333,0.241573,0.993066,-0.248925,0.210726,0.945321,-0.147796,0.109359,1.00588,-0.150092,0.112158,1.00617
-0.150092,0.112158,1.00617,-0.318438,-0.0148822,0.947827,-0.343864,0.00226583,0.963967,-0.353041,0.0072378,0.957491
-0.353041,0.0072378,0.957491,-0.24786,-0.141032,0.958476,-0.241683,-0.162111,0.978156,-0.245711,-0.163771,0.975115
-0.245711,-0.163771,0.975115,-0.0183899,-0.368473,0.929456,0.0411706,-0.364053,0.95069,0.0250063,-0.34522,0.955977
0.0250063,-0.34522,0.955977,0.114417,-0.205108,0.972028,0.173181,-0.154617,0.989848,0.175356,-0.153671,0.994348
0.175356,-0.153671,0.994348,0.409901,-0.0485819,0.910835,0.378653,0.0297407,0.948063,0.381803,0.0181105,0.948609
0.381803,0.0181105,0.948609,0.027512,0.00385246,0.999614,0.100929,0.242972,0.988301,0.111074,0.247477,0.987491
0.111074,0.247477,0.987491,-0.0481844,0.177576,0.982927,-0.0487104,0.255191,0.990569,-0.0373614,0.255424,0.991097
-0.0373614,0.255424,0.991097,-0.0502133,0.0537356,0.997292,-0.280421,0.0463315,0.983933,-0.28952,0.0579381,0.977823
-0.28952,0.0579381,0.977823,-0.0188577,0.0373935,0.999123,-0.0927151,0.0178075,1.01706,-0.121873,0.0063682,1.01479
-0.121873,0.0063682,1.01479,-0.0560965,-0.00154307,0.998424,-0.0605678,-0.0827285,1.01695,-0.0493321,-0.0864928,1.01606
-0.0493321,-0.0864928,1.01606,-0.0941649,-0.0586724,0.993826,-0.00367685,-0.124624,1.01328,-0.000346269,-0.122,1.01247
-0.000346269,-0.122,1.01247,0.0616785,-0.139894,0.988244,0.0509949,-0.0924281,1.01432,0.0467354,-0.0901948,1.01519
0.0467354,-0.0901948,1.01519,0.192103,-0.155865,0.968919,0.061463,0.0517248,1.01709,0.0664806,0.0569633,1.01946
0.0664806,0.0569633,1.01946,0.114477,0.158802,0.980651,0.0224516,0.118108,1.01612,0.000221781,0.116992,1.0167
0.000221781,0.116992,1.0167,-0.0803002,0.035667,0.996132,-0.0767458,0.0354461,1.01991,-0.0758534,0.0435894,1.01872
-0.0758534,0.0435894,1.01872,-0.194992,0.452707,0.870078,-0.41372,-0.0545805,0.933442,-0.418061,0.0016129,0.928937
-0.418061,0.0016129,0.928937,-0.262257,-0.36388,0.893763,-0.187356,-0.22909,0.97474,-0.18063,-0.226234,0.975061
-0.18063,-0.226234,0.975061,-0.0977881,-0.49145,0.865398,-0.00953287,-0.439837,0.917065,0.00506048,-0.431905,0.917214
0.00506048,-0.431905,0.917214,0.445555,-0.138769,0.884434,0.342419,-0.143527,0.9434,0.346266,-0.135077,0.9485
0.346266,-0.135077,0.9485,0.450669,-0.0614339,0.890575,0.437599,-0.0118381,0.919873,0.438486,0.00139837,0.921447
0.438486,0.00139837,0.921447,0.335075,0.076049,0.939117,0.312757,0.113753,0.964669,0.31215,0.122291,0.965163
0.31215,0.122291,0.965163,0.0858691,0.497435,0.863241,0.00538416,0.407393,0.936983,0.00175793,0.41047,0.938107
0.00175793,0.41047,0.938107,-0.0693996,0.150187,0.986219,-0.208719,0.230089,0.97572,-0.197391,0.225394,0.977091
-0.197391,0.225394,0.977091,0.00974816,-0.0264011,0.999604,0.0178229,-0.0109468,1.02178,-0.00360107,0.0011917,1.02124
-0.00360107,0.0011917,1.02124,-0.999833,0.00221021,-0.0181384,-1.02104,0.0188501,-0.00744786,-0.997198,0.0171406,-0.0182108
