accelx,accely,accelz,gyrox,gyroy,gyroz,time
-0.0020752,-0.000427246,1.02771,0.30426,0.30426,0.15213,6.65752e+06
-0.0012207,0.000427246,1.01837,0.15213,0.30426,0.15213,6.65752e+06
-0.0012207,0.000427246,1.01837,0.15213,0.30426,0.15213,6.65752e+06
-0.00482178,0.00146484,1.02679,-0,-0,-0,6.65752e+06
-0.00134277,-0.000610352,1.0246,0.15213,0.30426,-0.15213,6.65752e+06
-0.00384521,0.000427246,1.0238,0.15213,0.15213,0.30426,6.65752e+06
-0.00384521,0.000427246,1.0238,0.15213,0.15213,0.30426,6.65752e+06
-0.00463867,-0.0010376,1.02716,-0,-0,0.30426,6.65752e+06
-0.00463867,-0.0010376,1.02716,-0,-0,0.30426,6.65752e+06
-0.000549316,-0.000610352,1.03204,0.30426,0.15213,-0,6.65752e+06
-0.00421143,-0.00360107,1.02881,0.15213,0.30426,0.15213,6.65752e+06
-0.00421143,-0.00360107,1.02881,0.15213,0.30426,0.15213,6.65752e+06
0.00012207,-0.000976562,1.02716,0.30426,0.30426,0.15213,6.65752e+06
-0.00512695,-0.000183105,1.02527,0.30426,0.45639,-0,6.65752e+06
-0.00512695,-0.000183105,1.02527,0.30426,0.45639,-0,6.65752e+06
-0.00390625,-0.0045166,1.02167,0.15213,0.15213,-0.15213,6.65752e+06
-0.0055542,0.000793457,1.02441,-0,0.15213,0.15213,6.65752e+06
-0.00354004,0.00128174,1.02338,0.45639,0.30426,0.15213,6.65752e+06
-0.00354004,0.00128174,1.02338,0.45639,0.30426,0.15213,6.65752e+06
-0.00164795,0.0022583,1.02234,-0,-0,0.30426,6.65752e+06
-0.00164795,0.0022583,1.02234,-0,-0,0.30426,6.65752e+06
0.00128174,0.00170898,1.02887,-0.30426,-0,0.30426,6.65752e+06
-0.00592041,-0.000488281,1.0274,0.30426,0.15213,-0,6.65752e+06
-0.00592041,-0.000488281,1.0274,0.30426,0.15213,-0,6.65752e+06
