accelx,accely,accelz,gyrox,gyroy,gyroz,time
        0,0,0,0,0,0,6.63631e+06
        0,0,0,0,0,0,6.63631e+06
        0,0,0,0,0,0,6.63631e+06
        0,0,0,0,0,0,6.63631e+06
        0,0,0,0,0,0,6.63631e+06
        0,0,0,0,0,0,6.63631e+06
        0,0,0,0,0,0,6.63631e+06
        0,0,0,0,0,0,6.63631e+06
        0,0,0,0,0,0,6.63631e+06
        0,0,0,0,0,0,6.63631e+06
        0,0,0,0,0,0,6.63631e+06
        0,0,0,0,0,0,6.63631e+06
        0,0,0,0,0,0,6.63631e+06
        0,0,0,0,0,0,6.63631e+06
        0,0,0,0,0,0,6.63631e+06
-0.00146484,-0.00640869,1.01892,-0,-0,-0.15213,6.63631e+06
-0.00274658,-0.00628662,1.02338,-0,-0,-0,6.63631e+06
-0.00274658,-0.00628662,1.02338,-0,-0,-0,6.63631e+06
-0.00140381,-0.00830078,1.02362,0.15213,-0.15213,-0,6.63631e+06
0.000976562,-0.00616455,1.02014,0.15213,0.30426,-0,6.63631e+06
0.000976562,-0.00616455,1.02014,0.15213,0.30426,-0,6.63631e+06
-0.000610352,-0.00604248,1.021,0.15213,0.30426,-0.15213,6.63631e+06
-0.00250244,-0.00366211,1.02527,-0,-0,0.30426,6.63631e+06
-0.00250244,-0.00366211,1.02527,-0,-0,0.30426,6.63631e+06
-0.000976562,-0.00695801,1.0191,0.15213,-0,-0,6.63631e+06
-0.00274658,-0.00524902,1.02307,-0.15213,-0.15213,-0,6.63631e+06
-0.00274658,-0.00524902,1.02307,-0.15213,-0.15213,-0,6.63631e+06
0.000610352,-0.0065918,1.0177,0.15213,0.15213,0.15213,6.63631e+06
-0.00286865,-0.00500488,1.01923,-0,-0.15213,-0,6.63631e+06
-0.00286865,-0.00500488,1.01923,-0,-0.15213,-0,6.63631e+06
-0.00396729,-0.00341797,1.02496,-0,-0,0.15213,6.63631e+06
-0.0010376,-0.00469971,1.02283,0.15213,0.30426,0.15213,6.63631e+06
-0.0010376,-0.00469971,1.02283,0.15213,0.30426,0.15213,6.63631e+06
-0.000610352,-0.00372314,1.02319,-0.30426,-0.15213,0.15213,6.63631e+06
-0.000244141,-0.00598145,1.01703,0.15213,0.15213,-0,6.63631e+06
-0.000244141,-0.00598145,1.01703,0.15213,0.15213,-0,6.63631e+06
-0.00360107,-0.00189209,1.02588,0.30426,0.30426,0.15213,6.63631e+06
-0.00427246,-0.00604248,1.01837,-0,-0,0.15213,6.63631e+06
-0.00427246,-0.00604248,1.01837,-0,-0,0.15213,6.63631e+06
-0.00427246,-0.003479,1.01959,-0.15213,-0,0.30426,6.63631e+06
-0.00317383,-0.00421143,1.02234,-0,-0,0.15213,6.63631e+06
-0.00317383,-0.00421143,1.02234,-0,-0,0.15213,6.63631e+06
-0.0010376,-0.00628662,1.02362,0.15213,0.15213,-0,6.63631e+06
-0.00128174,-0.00732422,1.01935,-0.30426,-0,0.15213,6.63631e+06
-0.00128174,-0.00732422,1.01935,-0.30426,-0,0.15213,6.63631e+06
