accelx,accely,accelz,gyrox,gyroy,gyroz,time
-0.00561523,0.0120239,1.01825,0.30426,0.45639,0.15213,1.51071e+09
-0.00561523,0.0105591,1.02124,-0,-0,0.15213,1.51071e+09
-0.00720215,0.0112915,1.01929,-0,-0,-0,1.51071e+09
-0.00720215,0.0112915,1.01929,-0,-0,-0,1.51071e+09
-0.00708008,0.0117188,1.01782,-0,0.15213,-0,1.51071e+09
-0.0090332,0.0136108,1.02106,-0,0.15213,0.15213,1.51071e+09
-0.0090332,0.0136108,1.02106,-0,0.15213,0.15213,1.51071e+09
-0.00836182,0.0109863,1.01788,0.15213,0.15213,0.30426,1.51071e+09
-0.00994873,0.0106812,1.01984,-0,0.608521,-0,1.51071e+09
-0.00994873,0.0106812,1.01984,-0,0.608521,-0,1.51071e+09
-0.00799561,0.0133057,1.01538,-0.15213,-0.15213,-0.15213,1.51071e+09
-0.00366211,0.0101318,1.01941,0.15213,0.45639,-0.15213,1.51071e+09
-0.00366211,0.0101318,1.01941,0.15213,0.45639,-0.15213,1.51071e+09
-0.0088501,0.010437,1.01593,-0.15213,0.15213,0.15213,1.51071e+09
-0.00946045,0.0088501,1.02423,0.15213,0.15213,0.30426,1.51071e+09
-0.00946045,0.0088501,1.02423,0.15213,0.15213,0.30426,1.51071e+09
-0.0106201,0.0117798,1.02728,-0,0.15213,0.15213,1.51071e+09
-0.00927734,0.0100098,1.02106,0.15213,0.15213,-0,1.51071e+09
-0.00927734,0.0100098,1.02106,0.15213,0.15213,-0,1.51071e+09
-0.00598145,0.0159912,1.02441,0.45639,0.30426,-0,1.51071e+09
-0.00671387,0.0137329,1.02057,0.30426,0.15213,0.15213,1.51071e+09
-0.00671387,0.0137329,1.02057,0.30426,0.15213,0.15213,1.51071e+09
-0.00396729,0.0106201,1.01813,0.15213,0.15213,-0.15213,1.51071e+09
-0.00683594,0.0107422,1.01923,0.30426,0.45639,0.15213,1.51071e+09
-0.00683594,0.0107422,1.01923,0.30426,0.45639,0.15213,1.51071e+09
-0.0057373,0.00927734,1.02063,-0.15213,-0.15213,-0,1.51071e+09
-0.00646973,0.00909424,1.02136,-0,-0.15213,0.30426,1.51071e+09
-0.00646973,0.00909424,1.02136,-0,-0.15213,0.30426,1.51071e+09
-0.00836182,0.00952148,1.01868,-0,-0.15213,0.15213,1.51071e+09
-0.00762939,0.00775146,1.01642,0.15213,0.30426,-0,1.51071e+09
-0.00762939,0.00775146,1.01642,0.15213,0.30426,-0,1.51071e+09
-0.00695801,0.0106812,1.0174,-0,-0,0.15213,1.51071e+09
-0.00482178,0.0122681,1.02002,-0,0.30426,0.15213,1.51071e+09
-0.00482178,0.0122681,1.02002,-0,0.30426,0.15213,1.51071e+09
-0.00830078,0.0109253,1.01904,0.45639,0.30426,0.15213,1.51071e+09
-0.00775146,0.00946045,1.01758,-0,-0,0.30426,1.51071e+09
-0.00775146,0.00946045,1.01758,-0,-0,0.30426,1.51071e+09
-0.00805664,0.0114746,1.02136,0.15213,0.45639,-0,1.51071e+09
-0.00933838,0.00836182,1.02094,-0.15213,0.15213,0.30426,1.51071e+09
-0.00933838,0.00836182,1.02094,-0.15213,0.15213,0.30426,1.51071e+09
-0.00823975,0.0132446,1.01984,0.15213,0.15213,-0,1.51071e+09
-0.0055542,0.0126343,1.01727,0.15213,0.30426,0.15213,1.51071e+09
-0.0055542,0.0126343,1.01727,0.15213,0.30426,0.15213,1.51071e+09
-0.00445557,0.00866699,1.02209,0.30426,0.15213,0.15213,1.51071e+09
-0.00537109,0.0103149,1.01727,-0,-0.15213,-0,1.51071e+09
-0.00537109,0.0103149,1.01727,-0,-0.15213,-0,1.51071e+09
-0.00427246,0.00946045,1.01648,-0.15213,-0,0.15213,1.51071e+09
-0.00897217,0.00866699,1.02124,-0,-0,-0,1.51071e+09
-0.00897217,0.00866699,1.02124,-0,-0,-0,1.51071e+09
-0.0100098,0.0135498,1.01996,-0.15213,0.45639,-0,1.51071e+09
-0.00787354,0.0126343,1.01801,0.30426,0.30426,0.15213,1.51071e+09
-0.00787354,0.0126343,1.01801,0.30426,0.30426,0.15213,1.51071e+09
-0.00921631,0.0125732,1.02026,0.15213,0.15213,0.30426,1.51071e+09
-0.0101318,0.0105591,1.01984,-0,-0,-0,1.51071e+09
-0.0101318,0.0105591,1.01984,-0,-0,-0,1.51071e+09
-0.00750732,0.012085,1.01715,-0,0.30426,0.15213,1.51071e+09
-0.00604248,0.012207,1.02429,-0,0.30426,-0.30426,1.51071e+09
-0.00604248,0.012207,1.02429,-0,0.30426,-0.30426,1.51071e+09
-0.00604248,0.00946045,1.01331,0.15213,0.15213,0.15213,1.51071e+09
-0.00665283,0.0118408,1.02197,-0,0.30426,-0.15213,1.51071e+09
-0.00665283,0.0118408,1.02197,-0,0.30426,-0.15213,1.51071e+09
-0.00744629,0.00927734,1.01715,0.30426,0.15213,0.15213,1.51071e+09
-0.0105591,0.0131836,1.01569,0.15213,0.15213,-0.15213,1.51071e+09
-0.0105591,0.0131836,1.01569,0.15213,0.15213,-0.15213,1.51071e+09
-0.00817871,0.0145874,1.01965,0.15213,0.15213,0.30426,1.51071e+09
-0.00970459,0.0125732,1.01837,-0,0.30426,0.15213,1.51071e+09
-0.00970459,0.0125732,1.01837,-0,0.30426,0.15213,1.51071e+09
-0.00695801,0.0106201,1.02118,-0,-0,-0,1.51071e+09
-0.00720215,0.00811768,1.01813,-0,0.30426,-0,1.51071e+09
-0.00720215,0.00811768,1.01813,-0,0.30426,-0,1.51071e+09
-0.00799561,0.0088501,1.01788,0.30426,0.608521,0.15213,1.51071e+09
-0.00592041,0.00952148,1.01959,-0,-0,-0,1.51071e+09
-0.00592041,0.00952148,1.01959,-0,-0,-0,1.51071e+09
-0.00830078,0.0150757,1.02161,-0,-0,-0,1.51071e+09
-0.00439453,0.00909424,1.01819,0.15213,0.15213,-0,1.51071e+09
-0.00439453,0.00909424,1.01819,0.15213,0.15213,-0,1.51071e+09
-0.00671387,0.0145264,1.02008,0.15213,0.15213,0.15213,1.51071e+09
-0.0112915,0.0145874,1.01874,-0.15213,-0,-0,1.51071e+09
-0.0112915,0.0145874,1.01874,-0.15213,-0,-0,1.51071e+09
-0.0078125,0.010437,1.02209,-0.15213,-0,-0,1.51071e+09
-0.00976562,0.0124512,1.01672,-0.30426,-0,-0,1.51071e+09
-0.00976562,0.0124512,1.01672,-0.30426,-0,-0,1.51071e+09
-0.00756836,0.0131836,1.0174,0.30426,0.15213,-0,1.51071e+09
-0.00726318,0.0126343,1.01501,-0.30426,-0,0.15213,1.51071e+09
-0.00726318,0.0126343,1.01501,-0.30426,-0,0.15213,1.51071e+09
-0.00634766,0.0107422,1.02057,-0,-0.15213,-0,1.51071e+09
