accelx,accely,accelz,gyrox,gyroy,gyroz,time
        0,0,0,0,0,0,6.6467e+06
-0.00622559,-0.397888,0.929749,0.45639,0.45639,-0,6.6467e+06
-0.0102539,-0.399658,0.934265,0.30426,-0.15213,0.15213,6.6467e+06
-0.0090332,-0.394836,0.93103,0.15213,0.15213,0.30426,6.6467e+06
-0.0090332,-0.394836,0.93103,0.15213,0.15213,0.30426,6.6467e+06
-0.00787354,-0.390625,0.926331,-0.15213,0.15213,0.15213,6.6467e+06
-0.00872803,-0.393311,0.936279,0.15213,0.30426,-0.30426,6.6467e+06
-0.00872803,-0.393311,0.936279,0.15213,0.30426,-0.30426,6.6467e+06
-0.0108643,-0.400085,0.93988,0.15213,0.15213,-0,6.6467e+06
-0.00738525,-0.395996,0.93573,-0,-0.15213,0.15213,6.6467e+06
-0.00738525,-0.395996,0.93573,-0,-0.15213,0.15213,6.6467e+06
-0.00915527,-0.392456,0.930176,0.15213,0.30426,0.15213,6.6467e+06
-0.012085,-0.392334,0.935364,0.15213,0.15213,-0,6.6467e+06
-0.012085,-0.392334,0.935364,0.15213,0.15213,-0,6.6467e+06
-0.00585938,-0.394714,0.938538,0.30426,0.608521,-0,6.6467e+06
-0.00805664,-0.403015,0.933289,0.15213,0.45639,-0,6.6467e+06
-0.00805664,-0.403015,0.933289,0.15213,0.45639,-0,6.6467e+06
-0.0107422,-0.400757,0.936951,-0,-0.45639,-0.15213,6.6467e+06
-0.0117798,-0.397217,0.939697,0.15213,-0.45639,0.15213,6.6467e+06
-0.0117798,-0.397217,0.939697,0.15213,-0.45639,0.15213,6.6467e+06
-0.00866699,-0.389648,0.928589,0.45639,0.45639,0.15213,6.6467e+06
-0.00793457,-0.396912,0.932678,0.45639,1.06491,-0.15213,6.6467e+06
-0.00793457,-0.396912,0.932678,0.45639,1.06491,-0.15213,6.6467e+06
-0.0124512,-0.403198,0.941162,0.15213,0.45639,-0,6.6467e+06
-0.010498,-0.401428,0.936584,-0,0.15213,0.15213,6.6467e+06
-0.010498,-0.401428,0.936584,-0,0.15213,0.15213,6.6467e+06
-0.00994873,-0.387756,0.927673,0.15213,0.45639,0.45639,6.6467e+06
-0.00964355,-0.393677,0.934448,0.15213,0.30426,-0.15213,6.6467e+06
-0.00964355,-0.393677,0.934448,0.15213,0.30426,-0.15213,6.6467e+06
-0.0114136,-0.404419,0.942566,-0,-0.45639,-0,6.6467e+06
-0.00805664,-0.40332,0.930542,0.608521,0.30426,-0,6.6467e+06
-0.00805664,-0.40332,0.930542,0.608521,0.30426,-0,6.6467e+06
-0.00756836,-0.402466,0.933594,0.760651,0.912781,0.15213,6.6467e+06
-0.00897217,-0.396057,0.934631,0.30426,0.608521,0.30426,6.6467e+06
-0.00897217,-0.396057,0.934631,0.30426,0.608521,0.30426,6.6467e+06
-0.00134277,-0.384705,0.9422,-0,-0.608521,0.15213,6.6467e+06
-0.00756836,-0.392822,0.930542,-0.15213,0.30426,-0,6.6467e+06
-0.00756836,-0.392822,0.930542,-0.15213,0.30426,-0,6.6467e+06
-0.00341797,-0.396545,0.928406,0.15213,0.760651,-0,6.6467e+06
-0.00787354,-0.39325,0.92804,-0.30426,-0,-0.15213,6.6467e+06
-0.00787354,-0.39325,0.92804,-0.30426,-0,-0.15213,6.6467e+06
-0.0045166,-0.390198,0.942017,-0,-0.15213,0.45639,6.6467e+06
-0.00756836,-0.399109,0.935181,0.15213,0.30426,0.15213,6.6467e+06
-0.00756836,-0.399109,0.935181,0.15213,0.30426,0.15213,6.6467e+06
-0.0109253,-0.394714,0.93396,0.30426,0.30426,-0,6.6467e+06
-0.00750732,-0.396973,0.932922,0.30426,0.608521,0.30426,6.6467e+06
-0.00750732,-0.396973,0.932922,0.30426,0.608521,0.30426,6.6467e+06
-0.00738525,-0.398865,0.929932,0.15213,0.45639,0.15213,6.6467e+06
-0.00842285,-0.393799,0.934509,-0,0.30426,0.15213,6.6467e+06
-0.00842285,-0.393799,0.934509,-0,0.30426,0.15213,6.6467e+06
-0.0100098,-0.391724,0.932373,-0,-0.30426,0.15213,6.6467e+06
-0.00653076,-0.394226,0.925598,0.608521,0.45639,-0.15213,6.6467e+06
-0.00653076,-0.394226,0.925598,0.608521,0.45639,-0.15213,6.6467e+06
-0.0113525,-0.401794,0.949829,-0,-0.15213,0.15213,6.6467e+06
-0.00836182,-0.393494,0.925781,0.30426,0.45639,0.15213,6.6467e+06
-0.00836182,-0.393494,0.925781,0.30426,0.45639,0.15213,6.6467e+06
-0.00439453,-0.38623,0.931763,0.45639,0.760651,-0.15213,6.6467e+06
-0.00842285,-0.389832,0.943604,-0,0.15213,0.15213,6.6467e+06
-0.00842285,-0.389832,0.943604,-0,0.15213,0.15213,6.6467e+06
-0.00360107,-0.398621,0.924133,0.608521,0.912781,-0,6.6467e+06
-0.0108643,-0.398865,0.936279,0.15213,0.30426,-0,6.6467e+06
-0.0108643,-0.398865,0.936279,0.15213,0.30426,-0,6.6467e+06
-0.00408936,-0.399475,0.935608,-0.760651,-0.30426,0.15213,6.6467e+06
-0.0187378,-0.390808,0.937195,-0.45639,-0.912781,0.30426,6.6467e+06
-0.0187378,-0.390808,0.937195,-0.45639,-0.912781,0.30426,6.6467e+06
-0.00671387,-0.405151,0.935852,0.15213,-0.45639,0.45639,6.6467e+06
-0.00671387,-0.405151,0.935852,0.15213,-0.45639,0.45639,6.6467e+06
-0.00585938,-0.393188,0.921753,0.45639,1.21704,0.15213,6.6467e+06
-0.0147095,-0.395325,0.93219,0.45639,0.45639,0.15213,6.6467e+06
-0.00628662,-0.404236,0.93689,0.45639,-0,0.15213,6.6467e+06
-0.00628662,-0.404236,0.93689,0.45639,-0,0.15213,6.6467e+06
-0.00994873,-0.390076,0.935303,0.45639,0.45639,0.15213,6.6467e+06
-0.00140381,-0.390686,0.93512,-0.15213,0.15213,-0,6.6467e+06
-0.00140381,-0.390686,0.93512,-0.15213,0.15213,-0,6.6467e+06
