accl_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,time
0,0,0,0,0,0,0
0.211121,-0.373657,0.943115,1.28174,0.0610352,-0.305176,0
0.219788,-0.394592,0.910278,-0.305176,-0.427246,0,0
0.219788,-0.394592,0.910278,-0.305176,-0.427246,0,0
0.221252,-0.392456,0.931946,0.183105,-0.0610352,-0.12207,0
0.217285,-0.39563,0.900085,-0.549316,-0.305176,0,0
0.217285,-0.39563,0.900085,-0.549316,-0.305176,0,0
0.229614,-0.401062,0.945984,0.12207,-0.0610352,-0.12207,0
0.220398,-0.39447,0.909912,-0.12207,-0.0610352,-0.0610352,0
0.220398,-0.39447,0.909912,-0.12207,-0.0610352,-0.0610352,0
0.218567,-0.39325,0.922546,0.0610352,-0.0610352,-0.0610352,0
0.218506,-0.397766,0.928772,-0.12207,-0.183105,-0.12207,0
0.218506,-0.397766,0.928772,-0.12207,-0.183105,-0.12207,0
0.21991,-0.391418,0.913147,-0.12207,-0.244141,-0.0610352,0
0.220581,-0.395264,0.923401,-0.0610352,-0.183105,-0.0610352,0
0.220581,-0.395264,0.923401,-0.0610352,-0.183105,-0.0610352,0
0.218567,-0.397095,0.925598,-0.0610352,-0.12207,0,0
0.21759,-0.396057,0.9104,-0.0610352,-0.12207,-0.0610352,0
0.21759,-0.396057,0.9104,-0.0610352,-0.12207,-0.0610352,0
0.218811,-0.396423,0.924072,0,-0.244141,0,0
0.218933,-0.395386,0.920105,-0.12207,-0.305176,-0.12207,0
0.218933,-0.395386,0.920105,-0.12207,-0.305176,-0.12207,0
0.219177,-0.395325,0.9198,-0.0610352,-0.183105,-0.183105,0
0.223267,-0.398682,0.924255,-0.0610352,-0.183105,-0.183105,0
0.223267,-0.398682,0.924255,-0.0610352,-0.183105,-0.183105,0
0.218262,-0.396057,0.919983,-0.0610352,-0.244141,-0.0610352,0
0.220215,-0.397644,0.919861,-0.0610352,-0.0610352,0,0
0.21936,-0.395996,0.921204,-0.183105,-0.244141,-0.12207,0
0.21936,-0.395996,0.921204,-0.183105,-0.244141,-0.12207,0
0.219299,-0.393372,0.921204,-0.12207,-0.183105,-0.12207,0
0.221863,-0.396912,0.922485,-0.12207,-0.12207,0,0
0.221863,-0.396912,0.922485,-0.12207,-0.12207,0,0
0.218628,-0.396729,0.922546,0.0610352,-0.183105,-0.0610352,0
0.219727,-0.395935,0.922058,-0.0610352,-0.12207,0,0
0.219727,-0.395935,0.922058,-0.0610352,-0.12207,0,0
0.22168,-0.398071,0.924316,-0.0610352,-0.244141,0,0
