x,y,z
-1007.34,-1006.89,153.26,,,,
-1128.2,-878.16,293.64,,,,
Objects
100
,,Global Angle PHIL_ROBOT_01:PHIL_ROBOT_01,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.0193414,0.00223177,3.29589,123.713,405.391,96.6071
2,0,0.0191077,0.0023414,3.29568,123.735,405.402,96.5857
3,0,0.0197424,0.00202367,3.29567,123.74,405.384,96.5689
4,0,0.0194154,0.00244034,3.29554,123.726,405.38,96.5782
5,0,0.0191891,0.00243112,3.29568,123.728,405.397,96.5977
6,0,0.0195119,0.00206083,3.29578,123.717,405.384,96.5968
7,0,0.0196414,0.00231598,3.2957,123.714,405.389,96.6029
8,0,0.0191736,0.00245299,3.29571,123.734,405.396,96.5944
9,0,0.0196802,0.00210315,3.29592,123.74,405.391,96.5806
10,0,0.0195276,0.00252738,3.29548,123.732,405.388,96.5841
11,0,0.0195853,0.00259284,3.29555,123.719,405.388,96.6117
12,0,0.0192046,0.00223922,3.29566,123.717,405.398,96.5901
13,0,0.0194131,0.00201233,3.29576,123.74,405.393,96.5705
14,0,0.0194086,0.0021645,3.2955,123.734,405.391,96.5888
15,0,0.0194759,0.0019401,3.2959,123.737,405.4,96.5929
16,0,0.0195761,0.00211747,3.29572,123.731,405.39,96.5873
17,0,0.0159174,0.00424028,3.29557,123.642,405.364,96.5457
18,0,0.015295,0.00385623,3.29566,123.652,405.382,96.5301
19,0,0.015073,0.00383409,3.29564,123.684,405.402,96.5104
20,0,0.0155929,0.00396153,3.29583,123.673,405.382,96.5152
21,0,0.0155856,0.00393958,3.29562,123.653,405.392,96.5403
22,0,0.0156524,0.00343703,3.29566,123.672,405.392,96.5282
23,0,0.0158254,0.00374843,3.2957,123.662,405.376,96.5261
24,0,0.0152633,0.00408332,3.2957,123.659,405.369,96.5254
25,0,0.0152672,0.00385693,3.29551,123.67,405.387,96.5185
26,0,0.015377,0.00368282,3.29579,123.677,405.393,96.5314
27,0,0.0154269,0.00393589,3.29565,123.649,405.384,96.5413
28,0,0.0153191,0.00398232,3.29574,123.653,405.389,96.5413
29,0,0.0155293,0.00383616,3.29584,123.671,405.397,96.5251
30,0,0.0154876,0.00395337,3.29565,123.658,405.375,96.5086
31,0,0.0155243,0.0042332,3.29538,123.662,405.37,96.5214
32,0,0.0156944,0.0039903,3.29566,123.66,405.384,96.5397
33,0,0.0155008,0.00399533,3.29576,123.65,405.395,96.5373
34,0,0.015198,0.00427634,3.29557,123.662,405.368,96.5167
35,0,0.0159398,0.00349557,3.29575,123.667,405.402,96.5443
36,0,0.0155073,0.00398565,3.29564,123.67,405.405,96.5236
37,0,0.0154124,0.0041412,3.29549,123.665,405.358,96.5081
38,0,0.0154055,0.00405151,3.29564,123.646,405.375,96.5564
39,0,0.0158636,0.0034364,3.29577,123.673,405.398,96.5334
40,0,0.0153296,0.0040133,3.29576,123.672,405.384,96.5055
41,0,0.0156435,0.00428625,3.29557,123.654,405.386,96.5333
42,0,0.0157382,0.00369123,3.29573,123.663,405.399,96.5278
43,0,0.0155151,0.00382335,3.29565,123.661,405.391,96.5292
44,0,0.0156016,0.00398202,3.29566,123.648,405.366,96.5567
45,0,0.0156585,0.00459246,3.29558,123.657,405.387,96.5232
46,0,0.0156711,0.00379814,3.29568,123.674,405.39,96.5018
47,0,0.0155632,0.00389853,3.29564,123.658,405.392,96.5274
48,0,0.0157791,0.00408764,3.29549,123.655,405.391,96.5373
49,0,0.0148138,0.00357659,3.2958,123.664,405.39,96.5301
50,0,0.0155092,0.00380069,3.2957,123.666,405.391,96.5324
51,0,0.0157032,0.0040569,3.29561,123.659,405.373,96.5245
52,0,0.0154643,0.00417053,3.2957,123.661,405.367,96.4988
53,0,0.0157461,0.00405463,3.2957,123.666,405.393,96.5283
54,0,0.0157903,0.00397727,3.29557,123.651,405.382,96.5501
55,0,0.0147285,0.00425915,3.29566,123.666,405.377,96.5379
56,0,0.0157399,0.00355752,3.29571,123.684,405.399,96.5328
57,0,0.0154854,0.00392328,3.29569,123.678,405.39,96.5175
58,0,0.0154837,0.00401139,3.29553,123.657,405.365,96.5114
59,0,0.0156984,0.00372946,3.29561,123.657,405.384,96.5416
60,0,0.0154244,0.00350058,3.29569,123.657,405.382,96.531
61,0,0.0155054,0.00363554,3.29552,123.658,405.382,96.5252
62,0,0.0153222,0.00403751,3.2956,123.679,405.396,96.5327
63,0,0.0153991,0.00360632,3.29594,123.671,405.398,96.5109
64,0,0.0157016,0.00407186,3.29567,123.656,405.372,96.5338
65,0,0.0156465,0.00401429,3.29556,123.641,405.377,96.545
66,0,0.0152405,0.00363204,3.29556,123.664,405.384,96.5279
67,0,0.0151247,0.00381566,3.29569,123.676,405.386,96.5093
68,0,0.0156391,0.00403791,3.29545,123.672,405.395,96.5323
69,0,0.0157068,0.00404978,3.29563,123.671,405.398,96.5318
70,0,0.0155885,0.00375752,3.2958,123.657,405.378,96.5272
71,0,0.0157327,0.00424166,3.2955,123.646,405.374,96.5545
72,0,0.0151173,0.00431393,3.29563,123.67,405.372,96.5251
73,0,0.0156203,0.00384472,3.29571,123.675,405.387,96.5008
74,0,0.0159147,0.0038261,3.29554,123.672,405.381,96.5411
75,0,0.0156389,0.00422002,3.29553,123.635,405.325,96.5403
76,0,0.0157892,0.00358577,3.29574,123.648,405.226,96.5198
77,0,0.0159977,0.00387188,3.29558,123.684,405.058,96.509
78,0,0.0168357,0.00457651,3.29547,123.685,404.79,96.5111
79,0,0.0175907,0.00493489,3.29595,123.734,404.465,96.5102
80,0,0.0193672,0.00480616,3.2965,123.72,404.111,96.5239
81,0,0.0211029,0.0033988,3.29633,123.686,403.581,96.537
82,0,0.0232269,0.00137314,3.29614,123.737,402.891,96.5488
83,0,0.0207858,0.000896152,3.2955,123.861,402.137,96.5699
84,0,0.0180289,0.00106442,3.29537,123.904,401.361,96.5726
85,0,0.0191981,0.00253701,3.2957,123.911,400.405,96.5779
86,0,0.0198303,0.00336167,3.29641,124.021,399.319,96.6235
87,0,0.0174034,0.00262312,3.29517,124.137,398.253,96.6077
88,0,0.019079,1.62104e-005,3.29506,124.275,396.997,96.5781
89,0,0.0213044,0.000775174,3.29578,124.345,395.837,96.6108
90,0,0.0203527,0.00109983,3.29607,124.413,394.46,96.72
91,0,0.0178054,0.00578242,3.29654,124.451,393.114,96.6275
92,0,0.020699,0.00316281,3.29715,124.58,391.527,96.6607
93,0,0.020439,0.00322453,3.29533,124.664,389.946,96.7176
94,0,0.0217652,0.00620886,3.29644,124.764,388.291,96.7378
95,0,0.0186891,0.00562197,3.29628,124.888,386.5,96.7339
96,0,0.0219257,0.00749019,3.29649,124.998,384.608,96.7271
97,0,0.0219257,0.00728728,3.29591,125.131,382.689,96.8655
98,0,0.0234616,0.00703415,3.2952,125.331,380.651,96.7704
99,0,0.0236347,0.00552955,3.29542,125.381,378.392,96.8335
100,0,0.0224162,0.00519705,3.2963,125.532,376.11,96.7574
101,0,0.0245103,0.00648906,3.29639,125.779,373.645,96.8604
102,0,0.0217914,0.00387655,3.29632,125.975,371.076,96.9706
103,0,0.0259972,0.0029807,3.2973,126.072,368.452,96.7978
104,0,0.0209821,0.00602063,3.29527,126.304,365.745,96.8336
105,0,0.0224618,0.00360999,3.29544,126.593,362.775,96.9566
106,0,0.0237606,0.00503818,3.29602,126.78,359.89,96.8824
107,0,0.0228948,0.00626474,3.29504,127.037,356.861,96.8619
108,0,0.0237462,0.00760736,3.29494,127.306,353.706,96.9914
109,0,0.0230272,0.00711423,3.29477,127.394,350.348,96.8788
110,0,0.0266706,0.00716197,3.2945,127.716,347.045,97.0874
111,0,0.0363853,0.000441233,3.29589,128.092,343.626,97.1512
112,0,0.0386833,0.00104369,3.29644,128.224,340.067,97.2062
113,0,0.0365829,0.000481926,3.2965,128.478,336.584,97.2937
114,0,0.0381777,0.00279483,3.29562,128.771,332.944,97.1464
115,0,0.0369223,0.000555289,3.29549,129.108,329.131,97.2406
116,0,0.0350201,0.00340929,3.29522,129.332,325.357,97.2334
117,0,0.0390974,0.00708403,3.29507,129.624,321.439,97.3352
118,0,0.0337765,0.0042351,3.2948,129.834,317.528,97.2823
119,0,0.0384021,0.00433011,3.29516,130.138,313.568,97.3423
120,0,0.0342483,0.00146609,3.29468,130.375,309.583,97.3204
121,0,0.03515,0.00335156,3.29542,130.734,305.557,97.2755
122,0,0.0371178,0.0022385,3.29617,130.989,301.415,97.3718
123,0,0.0351417,0.00212583,3.29389,131.225,297.326,97.3096
124,0,0.0367479,0.00696563,3.29378,131.515,293.064,97.4062
125,0,0.038654,0.00655229,3.29529,131.784,288.792,97.3638
126,0,0.025438,0.00846917,3.29653,131.986,284.49,97.2176
127,0,0.0255694,0.00847716,3.29663,132.242,280.179,97.1376
128,0,0.0287796,0.00941442,3.2959,132.534,275.744,97.2105
129,0,0.0281716,0.00816398,3.29774,132.896,271.334,97.1173
130,0,0.026879,0.00618964,3.29773,133.198,266.802,97.0566
131,0,0.0265692,0.0089369,3.29625,133.525,262.419,97.0669
132,0,0.0302173,0.0101448,3.29693,133.891,257.9,97.1521
133,0,0.0275133,0.00758457,3.29599,134.212,253.342,97.0425
134,0,0.0300242,0.00734664,3.29708,134.671,248.799,97.126
135,0,0.0281158,0.0104957,3.29558,134.887,244.316,97.0488
136,0,0.0262162,0.0104637,3.29674,135.286,239.618,97.1457
137,0,0.0261718,0.00956027,3.29745,135.564,235.029,97.0478
138,0,0.0273372,0.00831225,3.29763,135.887,230.332,97.0935
139,0,0.0297153,0.00897089,3.29712,136.191,225.642,97.1523
140,0,0.0302928,0.0116688,3.29755,136.511,221.02,97.1856
141,0,0.0414968,0.0030811,3.29659,137.022,216.301,97.2726
142,0,0.0405371,0.00352789,3.29745,137.349,211.545,97.2334
143,0,0.0376034,0.00417957,3.29625,137.637,206.797,97.1981
144,0,0.038125,0.00658047,3.29682,137.969,202.077,97.1749
