x,y,z
-1007.34,-1006.89,153.26,,,,
-1128.2,-878.16,293.64,,,,
Objects,,,,,,,
100,,,,,,,
,,Global Angle MQP_OBJ_01:MQP_OBJ_01,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.000296496,0.000416286,0.000368976,-186.758,516.87,267.321
2,0,-0.000256644,0.000297455,0.000306733,-186.752,516.88,267.315
3,0,-0.000257153,0.000390026,0.00034778,-186.746,516.884,267.325
4,0,-0.000286935,0.000266349,0.000341754,-186.755,516.89,267.347
5,0,-0.000329249,0.000378833,0.000364347,-186.755,516.885,267.361
6,0,-0.000313302,0.000361427,0.000341603,-186.755,516.872,267.335
7,0,-0.000277979,0.000426383,0.000326219,-186.743,516.88,267.322
8,0,-0.000329956,0.000250874,0.00031721,-186.752,516.874,267.32
9,0,-0.000302486,0.000510051,0.000360432,-186.764,516.887,267.339
10,0,-0.000322978,0.00042277,0.000316149,-186.752,516.886,267.344
11,0,-0.000333589,0.000414312,0.000316817,-186.746,516.881,267.351
12,0,-0.00032647,0.000484512,0.000300493,-186.744,516.878,267.326
13,0,-0.000258564,0.000168079,0.000303696,-186.742,516.878,267.309
14,0,-0.000192846,0.000402033,0.000367923,-186.75,516.889,267.332
15,0,-0.000305683,0.000318158,0.000309713,-186.757,516.881,267.341
16,0,-0.00029483,0.000295536,0.000300884,-186.754,516.878,267.347
17,0,-0.000232367,0.000318389,0.000349768,-186.739,516.875,267.327
18,0,-0.000281797,0.000664796,0.000291192,-186.743,516.873,267.318
19,0,-0.000253931,0.000326345,-0.000316214,-186.796,516.896,267.328
20,0,-0.00030159,0.000290043,0.000339915,-186.749,516.885,267.343
21,0,-0.000280856,0.00026744,0.000347136,-186.743,516.882,267.341
22,0,-0.000314702,0.000413755,0.000295972,-186.762,516.861,267.338
23,0,-0.000239436,0.000374345,0.000303353,-186.733,516.876,267.318
24,0,-0.000271055,0.000125334,0.000304201,-186.749,516.887,267.339
25,0,-0.000245343,0.000286151,0.000326846,-186.758,516.889,267.324
26,0,-0.000237822,0.000404013,0.000295003,-186.751,516.889,267.35
27,0,-0.000219052,0.000262018,0.000288442,-186.751,516.868,267.315
28,0,-0.000341825,0.000350613,0.000324407,-186.743,516.867,267.335
