accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,x,y,z,left_encoder_rate,right_encoder_rate,left_input,right_input,fpga time,navx time
0.00860596,0.0338135,0.946106,-0.30426,-0,-0,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,39.7918,69164
0.00695801,0.0305176,0.945068,-0.15213,-0.15213,-0,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,39.8062,69179
0.00915527,0.0305176,0.950745,-0,-0,-0,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,39.8226,69194
0.00439453,0.0281982,0.947327,-0,-0,0.30426,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,39.8412,69224
0.00927734,0.0308838,0.944275,-0.15213,-0,0.30426,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,39.8622,69239
0.00598145,0.0302124,0.945984,-0,-0.15213,-0,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,39.8834,69254
0.00909424,0.0294189,0.942688,0.15213,0.15213,0.30426,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,39.9015,69284
0.00854492,0.0305176,0.948608,-0,-0,0.30426,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,39.9217,69299
0.00927734,0.02948,0.948608,-0,-0,0.30426,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,39.9416,69314
0.00646973,0.0314331,0.944275,-0,-0.15213,-0.30426,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,39.9618,69344
0.00640869,0.029541,0.950195,0.15213,0.15213,0.15213,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,39.9818,69359
0.0116577,0.0319214,0.948608,-0,-0.15213,-0,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,40.0019,69374
0.00488281,0.0298462,0.943359,0.15213,0.15213,0.15213,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,40.0214,69404
0.00848389,0.0303345,0.94989,-0.15213,-0.15213,0.15213,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,40.0411,69419
0.00683594,0.0300903,0.947937,-0,-0.15213,0.15213,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,40.061,69434
0.00836182,0.0308838,0.947266,-0,-0,-0,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,40.0812,69449
0.00775146,0.031311,0.949646,-0.15213,-0,-0,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,40.1013,69479
0.00500488,0.0332031,0.944153,-0,-0.15213,-0.15213,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,40.1212,69494
0.0115356,0.0279541,0.948059,0.15213,0.15213,0.15213,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,40.1418,69524
0.00848389,0.0293579,0.945312,-0,-0,0.15213,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,40.1615,69539
0.00537109,0.0296631,0.950439,-0,-0.30426,0.15213,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,40.1814,69554
0.00592041,0.0322876,0.943176,0.15213,0.15213,0.15213,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,40.2016,69569
0.00714111,0.029541,0.945007,0.15213,0.15213,-0,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,40.2227,69599
0.00775146,0.0281982,0.94812,-0.30426,-0.15213,0.30426,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,40.2416,69614
0.00561523,0.0283203,0.946045,0.15213,0.15213,0.15213,9.15527e-05,0.000213623,0,0,0,-0.0078125,0.0078125,40.2634,69644
