Objects,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,
,,Global Angle PHIL_ROBOT_01:PHIL_ROBOT_01,,,,,,Global Angle TAG_07:TAG_07,,,,,,Global Angle TAG_11:TAG_11,,,,,,Global Angle TAG_12:TAG_12,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.0197029,0.0140732,1.61812,-634.658,-486.201,272.569,,,,,,,,,,,,,-0.739505,1.84125,1.45839,-1196.13,-1246.59,552.531
2,0,0.0189961,0.0144022,1.61798,-634.644,-486.206,272.508,,,,,,,,,,,,,-0.721078,1.83529,1.45269,-1196.27,-1246.35,551.941
3,0,0.0188013,0.0147834,1.61798,-634.635,-486.216,272.523,,,,,,,,,,,,,-0.705022,1.82677,1.44327,-1196.14,-1246.38,551.962
4,0,0.0189454,0.0143855,1.61829,-634.656,-486.201,272.515,,,,,,,-0.0182066,0.00203929,0.0355327,991.227,-1215.38,734.404,-0.694086,1.82048,1.43942,-1196.06,-1246.35,552.009
5,0,0.0191578,0.014633,1.61841,-634.639,-486.171,272.523,,,,,,,-0.0207416,-0.00930326,0.0305115,991.154,-1215.2,734.074,-0.686267,1.81665,1.4343,-1195.99,-1246.37,552.008
6,0,0.0192809,0.0144157,1.61832,-634.672,-486.2,272.555,,,,,,,-0.0307817,-0.0468016,-0.00362061,988.664,-1212.99,732.409,-0.682179,1.81469,1.43286,-1195.98,-1246.4,552.081
7,0,0.0189682,0.0142883,1.61821,-634.652,-486.216,272.523,,,,,,,-0.018925,-0.00444045,0.030416,990.849,-1215.35,733.996,-0.686285,1.81693,1.43217,-1196.04,-1246.45,551.984
8,0,0.0188754,0.014737,1.61805,-634.628,-486.219,272.506,,,,,,,-0.0185274,0.0018722,0.036323,991.3,-1215.55,734.336,-0.683086,1.81552,1.43172,-1195.97,-1246.44,551.982
9,0,0.0190643,0.0144276,1.61827,-634.644,-486.199,272.547,,,,,,,-0.0265965,-0.0137806,0.0362583,991.988,-1215.58,734.293,-0.681147,1.81392,1.43107,-1195.96,-1246.38,552.041
10,0,0.0193952,0.0145146,1.61831,-634.656,-486.19,272.537,,,,,,,-0.0271098,-0.027976,0.029858,991.991,-1215.07,733.257,-0.681352,1.81445,1.43156,-1195.96,-1246.4,552.031
11,0,0.0194344,0.0144303,1.61832,-634.65,-486.196,272.536,,,,,,,-0.0344298,-0.0395987,0.0304644,992.519,-1215.29,733.098,-0.681493,1.81418,1.43026,-1195.94,-1246.39,552.032
12,0,0.0190335,0.0144725,1.61818,-634.66,-486.183,272.542,,,,,,,-0.0340364,-0.0255139,0.037496,992.509,-1215.88,734.149,-0.68203,1.81374,1.43143,-1195.98,-1246.36,552.014
13,0,0.0190979,0.0141884,1.61817,-634.657,-486.234,272.51,,,,,,,-0.0184929,0.00188323,0.0367514,991.281,-1215.57,734.334,-0.684441,1.81555,1.43192,-1196.04,-1246.46,551.949
14,0,0.0188234,0.0145128,1.61825,-634.642,-486.219,272.504,,,,,,,-0.0247143,-0.011215,0.0370338,991.946,-1215.59,734.254,-0.684842,1.81601,1.43228,-1196.01,-1246.43,551.944
15,0,0.0191603,0.0143773,1.6184,-634.655,-486.201,272.562,,,,,,,-0.0173749,0.00253837,0.0368652,991.273,-1215.43,734.362,-0.681903,1.81379,1.43321,-1195.99,-1246.38,552.054
16,0,0.0191949,0.0147734,1.61842,-634.647,-486.201,272.534,,,,,,,-0.0180857,-0.00423742,0.0303741,990.843,-1215.26,734.018,-0.68288,1.81443,1.43173,-1195.99,-1246.41,551.997
17,0,0.0192483,0.0144797,1.61828,-634.66,-486.193,272.52,,,,,,,-0.0244381,-0.0149476,0.0305933,991.359,-1215.33,734.019,-0.680853,1.814,1.43122,-1195.98,-1246.39,552.002
18,0,0.0189749,0.0146023,1.61813,-634.652,-486.199,272.541,,,,,,,-0.0283458,-0.0160892,0.0362777,992.109,-1215.64,734.251,-0.679971,1.81342,1.43131,-1195.95,-1246.36,552.042
19,0,0.0190648,0.0145918,1.61819,-634.65,-486.22,272.487,,,,,,,-0.0172319,0.00174943,0.0374041,991.335,-1215.58,734.208,-0.682864,1.815,1.43103,-1196,-1246.44,551.937
20,0,0.0188453,0.0147138,1.61837,-634.653,-486.21,272.53,,,,,,,-0.0155336,-0.033571,0.0942178,998.284,-1217.76,733.246,-0.683341,1.81445,1.43114,-1195.99,-1246.42,551.99
21,0,0.0187762,0.0146473,1.61834,-634.664,-486.196,272.548,,,,,,,-0.00860445,-0.0291995,0.104353,998.97,-1218.24,732.784,-0.679534,1.81315,1.43192,-1195.97,-1246.38,552.066
22,0,0.0188588,0.0146335,1.61837,-634.651,-486.206,272.523,,,,,,,0.000234103,-0.0145318,0.109456,998.697,-1218.49,732.665,-0.683482,1.81412,1.43114,-1195.99,-1246.43,552.004
23,0,0.0186746,0.0146274,1.61817,-634.639,-486.201,272.522,,,,,,,-0.00725469,0.0115633,0.0505564,992.298,-1215.31,734.553,-0.68361,1.81519,1.43195,-1196,-1246.4,552.005
24,0,0.0188091,0.0146678,1.61807,-634.653,-486.199,272.511,,,,,,,-0.00614728,0.00169262,0.0729692,994.473,-1216.96,733.623,-0.680511,1.81314,1.43106,-1195.96,-1246.39,552.004
25,0,0.0191101,0.0143612,1.61826,-634.644,-486.214,272.471,,,,,,,-0.0182963,-0.00413454,0.0301022,990.823,-1215.29,733.999,-0.682325,1.81427,1.43094,-1196,-1246.43,551.931
26,0,0.0190908,0.0145858,1.61839,-634.656,-486.194,272.543,,,,,,,-0.0225926,-0.0140403,0.0359127,992.114,-1215.14,733.876,-0.68137,1.81432,1.43201,-1195.95,-1246.41,552.067
27,0,0.0192546,0.0144686,1.61831,-634.657,-486.186,272.569,,,,,,,-0.0325875,-0.0280915,0.0367315,992.786,-1215.46,733.727,-0.682927,1.81393,1.43258,-1195.98,-1246.38,552.081
28,0,0.018557,0.0147806,1.6183,-634.639,-486.211,272.508,,,,,,,-0.0179724,0.00174159,0.0369675,991.302,-1215.57,734.291,-0.682471,1.81414,1.42946,-1195.99,-1246.45,551.966
29,0,0.0187967,0.0146267,1.61821,-634.65,-486.205,272.547,,,,,,,-0.0240574,-0.010074,0.0370448,991.88,-1215.55,734.311,-0.681643,1.81395,1.43272,-1195.97,-1246.36,552.038
30,0,0.0187507,0.0146299,1.61817,-634.643,-486.2,272.502,,,,,,,-0.0279314,-0.0154815,0.0371424,992.133,-1215.7,734.228,-0.682227,1.81509,1.43103,-1195.98,-1246.42,551.97
31,0,0.0195173,0.0144519,1.61831,-634.649,-486.216,272.53,,,,,,,-0.0324307,-0.0274677,0.036703,992.787,-1215.5,733.748,-0.684623,1.81507,1.43161,-1195.99,-1246.43,551.997
32,0,0.0192328,0.0145918,1.61851,-634.657,-486.188,272.57,,,,,,,-0.0283994,-0.017195,0.037208,992.227,-1215.69,734.227,-0.681498,1.81444,1.43297,-1195.96,-1246.37,552.091
33,0,0.0186938,0.0147802,1.61821,-634.649,-486.205,272.529,,,,,,,-0.0409845,-0.0173948,0.0148139,989.133,-1213.99,734.979,-0.682496,1.81436,1.4306,-1195.98,-1246.41,552.013
34,0,0.0188974,0.0142853,1.61816,-634.644,-486.214,272.512,,,,,,,-0.019832,-0.00480533,0.0304698,990.834,-1215.39,734.045,-0.682082,1.81463,1.43182,-1195.98,-1246.43,551.99
35,0,0.0186881,0.0147397,1.61814,-634.638,-486.21,272.526,,,,,,,-0.0202521,-0.0377361,0.0874486,997.864,-1217.47,733.384,-0.682112,1.81492,1.43033,-1195.96,-1246.41,551.994
36,0,0.0193275,0.0144534,1.61813,-634.659,-486.197,272.522,,,,,,,,,,,,,-0.681969,1.8143,1.43196,-1195.97,-1246.39,552.009
37,0,0.0188726,0.0148223,1.61843,-634.654,-486.196,272.536,,,,,,,,,,,,,-0.683038,1.81516,1.43221,-1195.99,-1246.41,552.022
38,0,0.0188174,0.0147658,1.61828,-634.645,-486.188,272.553,,,,,,,,,,,,,-0.681463,1.81513,1.43127,-1195.97,-1246.4,552.045
39,0,0.0187627,0.0145375,1.61816,-634.643,-486.209,272.53,,,,,,,,,,,,,-0.681668,1.81348,1.43078,-1195.97,-1246.42,551.98
40,0,0.0190126,0.0144303,1.61824,-634.649,-486.211,272.494,,,,,,,-0.0189587,0.00178193,0.0353511,991.234,-1215.46,734.399,-0.683247,1.81628,1.43154,-1195.99,-1246.45,551.969
41,0,0.0190347,0.0145454,1.6182,-634.648,-486.203,272.537,,,,,,,-0.0188667,0.00017121,0.0344431,991.362,-1215.18,734.219,-0.681619,1.81383,1.4314,-1195.97,-1246.39,552.025
42,0,0.019259,0.0144474,1.61838,-634.648,-486.205,272.53,,,,,,,-0.0170033,-0.0080084,0.0291407,991.047,-1214.94,733.523,-0.683737,1.81467,1.4308,-1195.99,-1246.42,552.032
43,0,0.019028,0.0147048,1.61836,-634.655,-486.194,272.563,,,,,,,,,,,,,-0.680717,1.81409,1.43168,-1195.96,-1246.39,552.048
44,0,0.0194526,0.0143474,1.61818,-634.643,-486.201,272.536,,,,,,,,,,,,,-0.679626,1.81311,1.43117,-1195.96,-1246.37,552.033
45,0,0.0189649,0.0143335,1.61807,-634.64,-486.216,272.503,,,,,,,,,,,,,-0.684656,1.816,1.43231,-1196.03,-1246.44,551.955
46,0,0.018809,0.0145653,1.61811,-634.652,-486.197,272.514,,,,,,,,,,,,,-0.684739,1.8158,1.43264,-1196.03,-1246.42,551.991
47,0,0.0192155,0.0145305,1.6184,-634.648,-486.192,272.517,,,,,,,,,,,,,-0.682182,1.81428,1.43166,-1195.97,-1246.39,552.033
48,0,0.0193406,0.0144322,1.61839,-634.66,-486.209,272.534,,,,,,,,,,,,,-0.682264,1.8147,1.43219,-1195.98,-1246.44,552.04
49,0,0.0190072,0.0144288,1.61822,-634.646,-486.194,272.54,,,,,,,,,,,,,-0.682381,1.81477,1.43255,-1195.99,-1246.41,552.013
50,0,0.0188281,0.0146989,1.6182,-634.632,-486.206,272.523,,,,,,,,,,,,,-0.683864,1.81553,1.43202,-1196,-1246.42,551.963
51,0,0.0188999,0.0144524,1.61825,-634.647,-486.21,272.513,,,,,,,,,,,,,-0.682947,1.81437,1.4308,-1195.98,-1246.42,551.988
52,0,0.0191049,0.0146739,1.61832,-634.643,-486.199,272.541,,,,,,,,,,,,,-0.682366,1.81496,1.43177,-1195.98,-1246.39,552.027
53,0,0.0194336,0.014512,1.61833,-634.649,-486.193,272.523,,,,,,,,,,,,,-0.68247,1.8148,1.43139,-1195.98,-1246.41,552.032
54,0,0.019244,0.0143239,1.61828,-634.654,-486.193,272.547,,,,,,,,,,,,,-0.68186,1.81415,1.43181,-1195.97,-1246.41,552.052
55,0,0.0188831,0.0144968,1.61826,-634.651,-486.209,272.54,,,,,,,,,,,,,-0.682322,1.81461,1.43152,-1195.98,-1246.43,551.994
56,0,0.0185798,0.0146982,1.61816,-634.632,-486.212,272.516,,,,,,,,,,,,,-0.682688,1.81476,1.43005,-1195.96,-1246.45,551.962
57,0,0.0190617,0.0143996,1.61817,-634.648,-486.185,272.555,,,,,,,,,,,,,-0.682291,1.8139,1.4324,-1195.97,-1246.39,552.081
58,0,0.0188178,0.014678,1.61826,-634.65,-486.189,272.524,,,,,,,-0.0174812,0.00244725,0.0365583,991.279,-1215.41,734.372,-0.6827,1.81464,1.42983,-1195.97,-1246.41,552.023
59,0,0.0191534,0.014658,1.61832,-634.651,-486.207,272.522,,,,,,,-0.0211191,-0.00615374,0.0370278,991.728,-1215.46,734.31,-0.681575,1.81381,1.43105,-1195.98,-1246.41,552.013
60,0,0.0188874,0.0145687,1.61824,-634.642,-486.203,272.556,,,,,,,-0.027266,-0.0146991,0.0363161,992.019,-1215.61,734.289,-0.683611,1.81383,1.43187,-1195.98,-1246.38,552.038
61,0,0.0190528,0.0143123,1.61813,-634.645,-486.207,272.499,,,,,,,-0.0371801,-0.0342326,0.0308067,992.14,-1215.87,733.774,-0.682979,1.81472,1.43184,-1196.02,-1246.43,551.943
62,0,0.0189736,0.0142921,1.61834,-634.653,-486.217,272.522,,,,,,,-0.0332581,-0.0297199,0.0522569,993.938,-1216.6,733.752,-0.682963,1.81521,1.43148,-1196,-1246.44,551.985
63,0,0.0191928,0.0145095,1.61829,-634.649,-486.185,272.563,,,,,,,-0.0258326,-0.0294056,0.0723604,995.682,-1217.56,733.245,-0.679876,1.8128,1.43086,-1195.94,-1246.39,552.077
64,0,0.0193312,0.014497,1.61827,-634.651,-486.182,272.523,,,,,,,,,,,,,-0.681348,1.81515,1.43027,-1195.97,-1246.41,552.006
65,0,0.0190907,0.0146786,1.61826,-634.641,-486.21,272.538,,,,,,,,,,,,,-0.682902,1.81501,1.43172,-1196.02,-1246.41,551.995
66,0,0.0192728,0.0141822,1.61805,-634.656,-486.218,272.541,,,,,,,,,,,,,-0.684154,1.81594,1.43245,-1195.99,-1246.41,552.021
