accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,x,y,z,left_encoder_rate,right_encoder_rate,left_input,right_input,fpga time,navx time
0.0308228,0.0274048,0.950989,0.15213,0.15213,-0,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,42.8681,3059103
0.0336304,0.0285034,0.949951,0.30426,0.30426,0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,42.8875,3059133
0.0348511,0.0274658,0.944885,-0,0.15213,-0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,42.9075,3059148
0.0326538,0.0288086,0.950989,-0,-0,0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,42.9272,3059163
0.0336304,0.0281982,0.947754,-0,-0.30426,-0,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,42.9477,3059193
0.032959,0.0280762,0.94873,0.15213,0.30426,-0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,42.9673,3059208
0.0360107,0.0313721,0.943909,0.15213,0.30426,-0.30426,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,42.9874,3059223
0.0367432,0.0301514,0.945618,0.15213,0.30426,-0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.0075,3059253
0.0339966,0.0274048,0.947327,0.15213,-0,-0,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.0274,3059268
0.0366821,0.0305176,0.948547,-0,-0,-0,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.0476,3059283
0.0338135,0.0274048,0.948975,0.30426,0.45639,0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.0679,3059313
0.031189,0.0288696,0.945984,0.15213,0.30426,0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.0878,3059328
0.0356445,0.0287476,0.953613,-0,-0,0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.1079,3059343
0.0333862,0.0328979,0.945984,0.15213,0.30426,-0,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.1296,3059373
0.0380859,0.0286255,0.949341,0.15213,0.45639,0.30426,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.1477,3059388
0.0316162,0.0287476,0.94873,-0,-0,0.30426,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.1677,3059403
0.0349731,0.0280762,0.946899,0.15213,0.30426,-0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.1877,3059433
0.0314941,0.0300293,0.945435,-0,-0.30426,-0,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.2078,3059448
0.0341187,0.0318604,0.951172,0.15213,0.15213,-0,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.2277,3059463
0.0341797,0.0307007,0.950012,-0,-0,-0,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.2491,3059493
0.0357056,0.0294189,0.953674,-0,-0.15213,0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.2686,3059508
0.034729,0.027832,0.949341,-0.15213,-0,0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.2879,3059523
0.0372925,0.0313721,0.94751,0.15213,0.15213,0.45639,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.3087,3059553
0.0330811,0.0270996,0.949402,0.30426,0.30426,0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.3269,3059568
0.0334473,0.0292969,0.947815,-0.15213,-0,-0,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.3468,3059583
0.0345459,0.0304565,0.944031,0.30426,0.15213,-0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.3668,3059613
0.0321045,0.0285034,0.951416,0.30426,0.15213,-0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.3884,3059628
0.0355225,0.0313721,0.94751,0.15213,0.15213,0.30426,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.409,3059643
0.0339355,0.0279541,0.945374,-0,-0,-0,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.435,3059673
0.03125,0.0286255,0.944458,0.15213,0.15213,-0.30426,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.447,3059688
0.0354614,0.0280762,0.947693,0.15213,0.30426,-0,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.4679,3059703
0.0354004,0.0262451,0.944824,0.15213,-0,-0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.4873,3059733
0.0333252,0.0285645,0.947632,0.15213,0.15213,0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.5075,3059748
0.0330811,0.0287476,0.949219,0.15213,0.45639,0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.528,3059763
0.0328979,0.0275879,0.949768,0.15213,0.15213,-0,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.5479,3059793
0.0350342,0.0308838,0.945618,-0,-0,-0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.5675,3059808
0.0350342,0.0268555,0.944336,0.15213,0.15213,-0,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.5873,3059823
0.0314331,0.0273438,0.947571,0.15213,0.30426,-0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.6077,3059853
0.034668,0.0311279,0.950745,-0.15213,0.15213,-0,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.6273,3059868
0.0330811,0.0291138,0.954651,0.15213,-0,-0,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.6473,3059883
0.0338135,0.0297241,0.947021,0.15213,0.15213,0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.6713,3059913
0.0333862,0.0310669,0.949463,-0,-0.15213,-0,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.6873,3059928
0.0361938,0.0289307,0.944946,-0.15213,0.15213,-0.30426,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.7076,3059943
0.0317383,0.0331421,0.943787,-0.15213,-0,0.45639,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.7272,3059973
0.0341187,0.0291748,0.95105,-0,0.30426,-0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.7475,3059988
0.0354004,0.0289917,0.946228,-0,-0,0.15213,-0.849442,1.22896,0,0,0,-0.0078125,0.0078125,43.7674,3060003
