Objects
100
,,Global Angle phil_robot:phil_robot,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.0166984,-0.0525244,2.66599,517.41,909.281,286.537
2,0,-0.0166045,-0.0523852,2.66594,517.443,909.278,286.568
3,0,-0.0166712,-0.0525471,2.66592,517.44,909.268,286.549
4,0,-0.0166773,-0.0526283,2.66588,517.411,909.257,286.543
5,0,-0.0167096,-0.052297,2.6659,517.437,909.264,286.595
6,0,-0.0166821,-0.0524343,2.66592,517.438,909.299,286.549
7,0,-0.0166746,-0.0525128,2.66594,517.414,909.263,286.509
8,0,-0.0165843,-0.0525365,2.66595,517.422,909.268,286.57
9,0,-0.0167474,-0.0524626,2.66592,517.437,909.276,286.572
10,0,-0.0166699,-0.0522339,2.66589,517.43,909.252,286.546
11,0,-0.0167231,-0.052437,2.6659,517.428,909.258,286.553
12,0,-0.016758,-0.0524645,2.66583,517.439,909.287,286.547
13,0,-0.0166138,-0.0524297,2.66589,517.427,909.308,286.547
14,0,-0.0166841,-0.0526485,2.6659,517.417,909.24,286.568
15,0,-0.0167537,-0.0525349,2.66594,517.432,909.252,286.572
16,0,-0.0166688,-0.0524272,2.66587,517.439,909.309,286.545
17,0,-0.0166439,-0.0520924,2.66591,517.434,909.249,286.541
18,0,-0.0166493,-0.0524661,2.66589,517.417,909.275,286.547
19,0,-0.0166921,-0.0523596,2.66589,517.434,909.313,286.558
20,0,-0.0166283,-0.0524607,2.66586,517.437,909.234,286.575
21,0,-0.0166358,-0.0525774,2.66581,517.421,909.22,286.56
22,0,-0.0166347,-0.0525401,2.66597,517.434,909.297,286.542
23,0,-0.0166798,-0.0526716,2.66591,517.434,909.291,286.547
24,0,-0.0165866,-0.0522187,2.66586,517.426,909.247,286.549
25,0,-0.0166684,-0.0525695,2.66595,517.429,909.285,286.544
26,0,-0.0166463,-0.0525197,2.66599,517.445,909.277,286.57
27,0,-0.0167652,-0.0523393,2.66588,517.427,909.256,286.554
28,0,-0.0166908,-0.0523478,2.66585,517.412,909.287,286.531
29,0,-0.0166658,-0.0522117,2.66589,517.429,909.273,286.566
30,0,-0.0166882,-0.052374,2.66592,517.444,909.251,286.567
31,0,-0.016711,-0.0524962,2.6659,517.421,909.252,286.541
32,0,-0.0166235,-0.0524481,2.66593,517.422,909.3,286.556
33,0,-0.0166749,-0.0524017,2.66596,517.441,909.294,286.562
34,0,-0.016608,-0.0523539,2.66596,517.426,909.267,286.528
35,0,-0.0166824,-0.0525028,2.66587,517.413,909.247,286.555
36,0,-0.0167275,-0.0524012,2.6659,517.439,909.261,286.592
37,0,-0.0166113,-0.0525105,2.66589,517.43,909.286,286.541
38,0,-0.016589,-0.0522599,2.66592,517.412,909.256,286.537
39,0,-0.0165877,-0.0524365,2.6659,517.44,909.289,286.553
40,0,-0.0166911,-0.0524189,2.666,517.442,909.288,286.533
41,0,-0.01659,-0.0524119,2.66592,517.406,909.236,286.566
42,0,-0.0167213,-0.0524431,2.66587,517.425,909.268,286.58
43,0,-0.0167193,-0.0525209,2.6659,517.436,909.303,286.547
