raw_accel_x,raw_accel_y,raw_accel_z,world_accel_x,world_accel_y,yaw,left_encoder_rate,right_encoder_rate,fpga time,navx time
0.0254517,0.00323486,1.01788,0,0,-0.67,0,0,373.473,8606676
0.0248413,0.0032959,1.01654,0,0,-0.67,0,0,373.492,8606691
0.0244141,0,1.01703,0,-0.003,-0.67,0,0,373.512,8606706
0.0240479,0.00256348,1.01648,-0.001,-0.001,-0.67,0,0,373.532,8606736
0.0274048,0.00201416,1.01709,0.002,-0.001,-0.67,0,0,373.552,8606751
0.0238037,0.00311279,1.02197,-0.001,0,-0.67,0,0,373.573,8606766
0.0261841,0.00427246,1.01593,0,0,-0.67,0,0,373.593,8606796
0.0264282,0.00268555,1.01123,0.001,0,-0.67,0,0,373.613,8606811
0.0251465,0.00152588,1.01434,0,-0.002,-0.67,0,0,373.633,8606826
0.0253296,0.00439453,1.01465,0,0,-0.67,0,0,373.653,8606856
0.0250244,-0.000610352,1.02264,0,-0.004,-0.67,0,0,373.672,8606871
0.0251465,0.00189209,1.01123,0,-0.001,-0.67,0,0,373.692,8606886
0.0268555,0.00189209,1.00903,0.001,-0.001,-0.67,0,0,373.712,8606916
0.0247192,0.00494385,1.0166,0,0.001,-0.67,0,0,373.732,8606931
0.0248413,0.00213623,1.01422,0,-0.001,-0.67,0,0,373.752,8606946
0.0256958,0.0045166,1.01758,0,0,-0.68,0,0,373.773,8606976
0.027832,0.00256348,1.01501,0.002,0,-0.68,0,0,373.793,8606991
0.0244751,0.00408936,1.01355,0,0,-0.68,0,0,373.813,8607006
0.0230103,0.00598145,1.02045,-0.002,0.002,-0.68,0,0,373.833,8607036
0.0262451,0.00372314,1.01807,0,0,-0.68,0,0,373.853,8607051
0.0263062,0.00262451,1.0174,0.001,0,-0.68,0,0,373.872,8607066
0.0250854,0.0032959,1.01404,0,0,-0.68,0,0,373.892,8607096
0.0233154,0.00274658,1.01776,-0.001,0,-0.68,0,0,373.913,8607111
0.0255127,0.00494385,1.01245,0,0.001,-0.68,0,0,373.935,8607126
0.0256348,0.00219727,1.01196,0,-0.001,-0.68,0,0,373.952,8607156
0.0252075,0.00506592,1.01636,0,0.001,-0.68,0,0,373.973,8607171
0.0268555,0.00592041,1.00787,0.001,0.002,-0.68,0,0,373.992,8607186
0.0244751,0.00360107,1.01581,0,0,-0.68,0,0,374.015,8607216
0.0267334,0.00360107,1.01617,0.001,0,-0.68,0,0,374.033,8607231
0.027832,0.00183105,1.01575,0.002,-0.001,-0.68,0,0,374.052,8607246
0.0248413,0.00128174,1.01819,0,-0.002,-0.68,0,0,374.072,8607276
0.0256348,0.00262451,1.01501,0,-0.001,-0.68,0,0,374.092,8607291
0.0257568,0.003479,1.01727,0,0,-0.68,0,0,374.113,8607306
0.0236816,0.00421143,1.01239,-0.001,0,-0.68,0,0,374.133,8607336
0.0246582,0.00195312,1.01654,0,-0.001,-0.68,0,0,374.152,8607351
0.0275269,0.0043335,1.0127,0.002,0,-0.68,0,0,374.172,8607366
0.026123,0.00354004,1.0155,0,0,-0.68,0,0,374.192,8607396
0.0231934,0.00439453,1.0213,-0.002,0,-0.69,0,0,374.217,8607411
0.0258179,0.00299072,1.01038,0,0,-0.69,0,0,374.233,8607426
0.026123,0.00170898,1.01495,0.001,-0.001,-0.69,0,0,374.253,8607456
0.0264282,0.00561523,1.01404,0.001,0.001,-0.69,0,0,374.273,8607471
0.0202026,0.00408936,1.01477,-0.004,0,-0.69,0,0,374.292,8607486
0.0255127,0.00384521,1.01581,0,0,-0.69,0,0,374.312,8607516
0.0264893,0.00366211,1.01477,0.001,0,-0.69,0,0,374.333,8607531
0.0237427,0.00268555,1.01868,-0.001,-0.001,-0.69,0,0,374.352,8607546
