raw_accel_x,raw_accel_y,raw_accel_z,world_accel_x,world_accel_y,yaw,left_encoder_rate,right_encoder_rate,fpga time,navx time
0.00799561,0.0122681,1.01404,-0.001,0.001,156.37,0,0,710.732,8943936,
0.00549316,0.0135498,1.01428,0.001,0,156.37,0,0,710.76,8943966,
0.00714111,0.0140991,1.01971,0,0,156.37,0,0,710.772,8943981,
0.00732422,0.0143433,1.01038,0,0,156.37,0,0,710.794,8943996,
0.00756836,0.0167847,1.01617,0,-0.002,156.37,0,0,710.815,8944026,
0.00866699,0.0142212,1.02045,-0.001,0,156.37,0,0,710.833,8944041,
0.00744629,0.0166626,1.0177,0,-0.002,156.37,0,0,710.852,8944056,
0.00592041,0.0126953,1.01587,0,0.001,156.37,0,0,710.873,8944086,
0.00775146,0.0158081,1.01379,0,-0.002,156.37,0,0,710.893,8944101,
0.00732422,0.0166626,1.0188,0.001,-0.002,156.37,0,0,710.913,8944116,
0.00994873,0.0137329,1.01868,-0.002,-0.001,156.37,0,0,710.932,8944146,
0.00537109,0.0131836,1.01874,0.001,0.001,156.37,0,0,710.952,8944161,
0.00701904,0.012085,1.01813,0,0.001,156.37,0,0,710.972,8944176,
0.00408936,0.0118408,1.013,0.002,0.003,156.37,0,0,710.992,8944206,
0.0088501,0.0131836,1.02057,-0.001,0,156.37,0,0,711.013,8944221,
0.0065918,0.0142212,1.01691,0,0,156.37,0,0,711.032,8944236,
0.00683594,0.0140381,1.01874,0,0,156.37,0,0,711.053,8944266,
0.00842285,0.0119629,1.0199,-0.002,0.001,156.37,0,0,711.072,8944281,
0.00726318,0.0129395,1.01514,0,0,156.37,0,0,711.092,8944296,
0.0098877,0.0158691,1.01953,-0.001,-0.002,156.37,0,0,711.116,8944326,
0.00762939,0.0165405,1.01636,0,-0.002,156.37,0,0,711.132,8944341,
0.00476074,0.0134888,1.01788,0.002,0.001,156.37,0,0,711.153,8944356,
0.00854492,0.015625,1.01538,0,-0.002,156.37,0,0,711.173,8944386,
0.0101318,0.0136719,1.01154,-0.002,-0.001,156.37,0,0,711.192,8944401,
0.00744629,0.012207,1.01965,0,0.001,156.37,0,0,711.213,8944416,
0.00872803,0.013916,1.02234,-0.001,0,156.37,0,0,711.232,8944446,
0.00830078,0.0165405,1.01788,0,-0.002,156.37,0,0,711.252,8944461,
0.0057373,0.0158081,1.01776,0.002,-0.001,156.37,0,0,711.272,8944476,
0.00549316,0.0171509,1.01782,0.002,-0.002,156.37,0,0,711.292,8944507,
0.00653076,0.012207,1.01886,0,0.001,156.37,0,0,711.313,8944522,
0.00506592,0.0140991,1.01373,0.002,0,156.37,0,0,711.333,8944537,
0.0090332,0.012207,1.01471,-0.002,0,156.37,0,0,711.353,8944567,
0.00762939,0.0141602,1.01556,0,0,156.36,0,0,711.373,8944582,
0.00665283,0.0100098,1.01758,-0.001,0.003,156.36,0,0,711.393,8944597,
0.00799561,0.0126343,1.01959,-0.001,0,156.36,0,0,711.412,8944627,
0.00604248,0.0142212,1.013,0.001,0,156.36,0,0,711.432,8944642,
0.00592041,0.0131226,1.01685,0,0.001,156.36,0,0,711.452,8944657,
0.00628662,0.0128174,1.01782,0,0.001,156.36,0,0,711.472,8944687,
0.00585938,0.0150146,1.01465,0.001,0,156.36,0,0,711.492,8944702,
