left_encoder_ticks,right_encoder_ticks,left_current,right_current,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,navx_time,laptop_time
46416,36544,0,0,0.077881,-0.021301,1.031982,-0.305176,-0.244141,0.061035,0,1512690161.416558
46416,36544,0,0,0.086121,-0.009460,1.024719,0.122070,-0.854492,0.000000,0,1512690161.516805
46416,36544,0,0,0.083008,-0.016541,1.023743,-0.305176,0.305176,0.183105,0,1512690161.616928
46416,36544,0,0,0.085876,-0.012573,1.022217,-0.061035,-0.183105,0.183105,0,1512690161.717039
46416,36544,0,0,0.086548,-0.020813,1.020142,-0.427246,0.366211,0.488281,0,1512690161.817206
46416,36544,0,0,0.094421,-0.019714,1.012939,0.000000,-0.122070,0.000000,0,1512690161.917385
46416,36544,0,0,0.093689,-0.009521,1.025757,0.000000,0.427246,0.244141,0,1512690162.017522
46416,36544,0,0,0.084717,-0.017944,1.020569,-0.061035,-0.183105,0.122070,0,1512690162.117690
46416,36544,0,0,0.089172,-0.004456,1.021973,0.122070,0.122070,-0.122070,0,1512690162.217871
46416,36544,0,0,0.086487,-0.026794,1.014038,-0.366211,0.000000,0.000000,0,1512690162.318025
46416,36544,0,0,0.088440,-0.007385,1.024658,0.671387,-0.061035,-0.305176,0,1512690162.418195
46416,36544,0,0,0.089050,-0.019836,1.023438,-0.671387,-0.061035,0.244141,0,1512690162.518362
46416,36544,0,0,0.088440,-0.011414,1.026672,0.427246,-0.122070,-0.183105,0,1512690162.618476
46416,36544,0,0,0.084717,-0.016846,1.021179,-0.488281,-0.183105,0.183105,0,1512690162.718612
46416,36544,0,0,0.091736,-0.015808,1.021301,0.244141,-0.183105,-0.122070,0,1512690162.818766
46416,36544,0,0,0.088806,-0.010498,1.023682,-0.244141,0.061035,0.061035,0,1512690162.918940
46416,36544,0,0,0.087158,-0.018738,1.024231,0.122070,-0.305176,-0.061035,0,1512690163.019097
46416,36544,0,0,0.089355,-0.013000,1.023804,-0.183105,0.000000,0.000000,0,1512690163.119239
46416,36544,0,0,0.085022,-0.014648,1.017761,0.244141,-0.244141,-0.061035,0,1512690163.219370
46416,36544,0,0,0.086853,-0.014404,1.021057,-0.183105,0.061035,0.000000,0,1512690163.319488
46416,36544,0,0,0.085693,-0.015015,1.020630,0.305176,-0.122070,-0.183105,0,1512690163.419738
46416,36544,0,0,0.090088,-0.015625,1.022461,-0.183105,0.000000,0.000000,0,1512690163.519923
46416,36544,0,0,0.087402,-0.016907,1.022644,0.061035,-0.122070,0.000000,0,1512690163.620108
46416,36544,0,0,0.091736,-0.010559,1.022766,-0.244141,0.122070,0.000000,0,1512690163.720290
