raw_accel_x,raw_accel_y,raw_accel_z,raw_gyro_x,raw_gyro_y,raw_gyro_z,world_accel_x,world_accel_y,yaw,x,y,z,left_encoder_rate,right_encoder_rate,left_motor,right_motor,temp,fpga time,navx time
-0.0119019,-0.0109863,1.01483,-0.0610352,-0.12207,0,0.002,-0.001,-67.29,-0.173386,0.0128937,0,0,0,0,0,41.76,657.312,2277430
-0.0148315,-0.00683594,1.0116,0,0,-0.12207,-0.002,-0.003,-67.29,-0.173386,0.0128937,0,0,0,0,0,41.76,657.322,2277445
-0.00915527,-0.00610352,1.00763,-0.0610352,-0.12207,0,0.001,0.001,0,0,0,0,0,0,0,0,41.76,657.337,2277460
-0.0108643,-0.00537109,1.0119,0.0610352,-0.0610352,-0.0610352,0,0.002,0,0,0,0,0,0,0,0,41.77,657.357,2277475
-0.0109253,-0.00695801,1.01355,0,0,0,0,0,0,0,0,0,0,0,0,0,41.77,657.38,2277505
-0.0101929,-0.00738525,1.01453,0,0,0.0610352,0,0,0,0,0,0,0,0,0,0,41.77,657.399,2277520
-0.0108032,-0.00799561,1.0097,-0.0610352,0.0610352,-0.12207,0,0,0,0,0,0,0,0,0,0,41.77,657.417,2277535
-0.0105591,-0.00775146,1.01556,-0.0610352,-0.0610352,-0.0610352,0,0,0,0,0,0,0,0,0,0,41.77,657.438,2277565
-0.0106812,-0.00939941,1.01166,-0.0610352,-0.0610352,-0.0610352,0,-0.001,0,0,0,0,0,0,0,0,41.77,657.457,2277580
-0.00921631,-0.00915527,1.01459,0,0,-0.0610352,0.001,-0.001,0,0,0,0,0,0,0,0,41.77,657.478,2277595
-0.010498,-0.00830078,1.00995,-0.12207,-0.183105,0,0,0,0,0,0,0,0,0,0,0,41.77,657.498,2277625
-0.0128784,-0.00799561,1.01105,0,0.0610352,0,-0.001,0,0,0,0,0,0,0,0,0,41.77,657.518,2277640
-0.0088501,-0.00604248,1.01868,0,0.0610352,-0.12207,0.002,0.002,0,0,0,0,0,0,0,0,41.77,657.538,2277655
-0.0112915,-0.00964355,1.01648,0,0,-0.12207,0,-0.001,0,0,0,0,0,0,0,0,41.77,657.557,2277685
-0.0098877,-0.00726318,1.01508,-0.0610352,-0.0610352,-0.0610352,0.001,0,0,0,0,0,0,0,0,0,41.77,657.578,2277700
-0.0106201,-0.0110474,1.01196,0.0610352,0.0610352,-0.0610352,0,-0.003,0,0,0,0,0,0,0,0,41.77,657.598,2277715
-0.0111084,-0.00750732,1.01056,0,-0.0610352,0,0,0,0,0,0,0,0,0,0,0,41.77,657.617,2277745
-0.0111694,-0.00909424,1.01044,0,0,-0.12207,0,-0.001,0,0,0,0,0,0,0,0,41.77,657.638,2277760
-0.0102539,-0.00640869,1.01093,-0.0610352,-0.0610352,-0.0610352,0,0.001,0,0,0,0,0,0,0,0,41.77,657.658,2277775
-0.0101318,-0.00744629,1.01489,-0.0610352,-0.0610352,-0.0610352,0,0,0,0,0,0,0,0,0,0,41.77,657.678,2277805
-0.0109253,-0.00665283,1.01532,0,0,0,0,0.001,0,0,0,0,0,0,0,0,41.77,657.7,2277820
-0.0102539,-0.00952148,1.01501,-0.12207,-0.305176,0,0,-0.001,0,0,0,0,0,0,0,0,41.77,657.718,2277835
-0.0103149,-0.00872803,1.01019,0.0610352,0,-0.0610352,0,0,0,0,0,0,0,0,0,0,41.77,657.738,2277865
