id,topLeftX,topLeftY,topLeftZ,rightX,rightY,rightZ,bottomLeftX,bottomLeftY,bottomLeftZ
0,66.8811,-35.4854,59.6951,59.6951,-1.62154,59.0937,78.7839,37.1062,-118.788
4,61.3732,-51.7717,92.1203,-147.554,-15.3897,64.5372,64.5372,67.1564,-156.659
8,49.1523,-79.1465,112.2,-137.346,26.4145,16.432,88.1934,52.7329,-128.632
12,-81.8989,-61.1247,87.2444,-14.4822,148.045,38.1451,96.381,-86.9202,-125.39
16,-56.8961,-62.6816,97.1233,-2.37649,145.127,57.6934,59.2724,-82.4452,-154.817
20,-102.96,-53.4926,112.356,36.3218,138.943,-6.3914,66.6386,-85.4505,-105.965
24,-70.1187,69.8579,126.88,141.703,-21.7961,-33.1248,-71.5843,-48.0616,-93.7549
30,-60.0324,27.539,88.4076,117.612,19.9832,89.6949,-57.58,-47.5219,-178.103
32,-62.1961,80.16,139.906,139.507,-36.2497,-31.9493,-77.3103,-43.91,-107.956
36,76.1293,70.6354,153.404,-38.4389,-143.894,-73.227,-37.6902,73.2585,-80.1772
40,75.5052,68.2272,154.384,-36.8787,-140.917,-55.2443,-38.6262,72.6897,-99.1376
44,127.127,45.3136,136.94,-80.593,-128.899,-60.3574,-46.5335,83.5852,-76.5823
