Objects
100
,,Global Angle phil_tag_0:phil_tag_0,,,,,,Global Angle phil_tag_14:phil_tag_14,,,,,,Global Angle phil_tag_16:phil_tag_16,,,,,,Global Angle phil_tag_20:phil_tag_20,,,,,,Global Angle phil_tag_24:phil_tag_24,,,,,,Global Angle phil_tag_30:phil_tag_30,,,,,,Global Angle phil_tag_32:phil_tag_32,,,,,,Global Angle phil_tag_36:phil_tag_36,,,,,,Global Angle phil_tag_40:phil_tag_40,,,,,,Global Angle phil_tag_44:phil_tag_44,,,,,,Global Angle phil_tag_4:phil_tag_4,,,,,,Global Angle phil_tag_8:phil_tag_8,,,,,,Global Angle phil_turtlebot:phil_turtlebot,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.0162799,0.00530565,0.00478995,921.278,-1222.24,244.612,-0.000440986,-0.000590823,0.00119475,-1329.5,-54.6429,125.259,0.0061253,0.0141455,0.00395934,-1298.09,455.488,218.717,0.00112389,-0.00292346,0.00159954,-1174.24,1195.97,101.51,0.00414925,-0.000281899,-0.00236276,-660.284,1902.33,116.491,0.000839246,0.00166584,-0.00108476,284.911,1895.49,185.561,0.00164412,-0.00176587,-0.00219898,951.152,1852.66,157.679,0.000855019,0.000686507,0.00246262,1657.54,1145.3,127.036,-0.000840781,0.000543756,-0.000362364,1598.85,272.867,141.133,0.00339729,0.00432328,0.00512859,1462.7,-696.615,160.437,0.00068586,0.000797607,0.00124011,96.5402,-1065.38,194.27,-0.00293625,0.0100527,-0.000510485,-886.794,-883.718,142.174,-0.034536,0.056736,2.74433,-747.341,625.034,445.559
2,0,-0.0160811,0.00534911,0.00473022,921.293,-1222.24,244.619,-0.000521839,-0.000653113,0.0013111,-1329.49,-54.6618,125.26,0.00612315,0.0145516,0.00400665,-1298.14,455.485,218.672,0.000702412,-0.00109638,0.00228154,-1174.07,1196,101.549,0.00420666,-0.000205243,-0.00218278,-660.288,1902.32,116.484,0.000875924,0.00168552,-0.00123431,284.923,1895.5,185.542,0.00136371,-0.00161804,-0.00200971,951.17,1852.68,157.672,0.000890243,0.000756173,0.00244209,1657.56,1145.3,127.024,-0.000824021,0.00050502,-0.000356911,1598.85,272.875,141.108,0.00365093,0.00412225,0.00499116,1462.71,-696.646,160.426,0.000720237,0.000405709,0.00104014,96.594,-1065.36,194.17,-0.00299824,0.0101052,-0.000469714,-886.778,-883.721,142.126,-0.0344534,0.0568077,2.74424,-747.342,625.041,445.55
3,0,-0.0161401,0.00522145,0.00481286,921.273,-1222.24,244.6,-0.000463797,-0.000896311,0.00106872,-1329.52,-54.6327,125.216,0.00625711,0.0140742,0.00377337,-1298.11,455.511,218.649,0.00118134,-0.00287738,0.00149441,-1174.23,1195.99,101.462,0.00403213,1.98162e-006,-0.00201569,-660.338,1902.35,116.443,0.00101883,0.00172298,-0.00117976,284.886,1895.53,185.512,0.00178277,-0.00176932,-0.00230368,951.17,1852.69,157.629,0.000883361,0.000699978,0.00257691,1657.56,1145.31,126.958,-0.000861393,0.000613943,-0.000333445,1598.85,272.893,141.049,0.00335991,0.00434278,0.00515037,1462.71,-696.576,160.323,0.000667341,0.000996062,0.00111593,96.5045,-1065.39,194.152,-0.00308186,0.00973673,0.000192831,-886.826,-883.755,142.054,-0.034584,0.0570708,2.74425,-747.359,625.051,445.513
4,0,-0.0160715,0.00528312,0.00479593,921.282,-1222.23,244.582,-0.000381338,-0.000948005,0.00103424,-1329.51,-54.627,125.208,0.00623385,0.0141892,0.00384278,-1298.11,455.525,218.638,0.000586136,-0.00101217,0.00229091,-1174.06,1196.04,101.542,0.00383605,0.000185174,-0.00194865,-660.327,1902.36,116.494,0.000823642,0.00166927,-0.00121442,284.9,1895.54,185.51,0.00181165,-0.00178462,-0.00230992,951.173,1852.72,157.646,0.00028091,0.000374975,0.00275819,1657.52,1145.47,127.006,-0.000900417,0.000561829,-0.000391451,1598.85,272.917,141.061,0.00333341,0.00425062,0.00498616,1462.73,-696.57,160.321,0.000669825,0.00095409,0.00116994,96.5151,-1065.37,194.157,-0.00291745,0.0104604,-0.00062557,-886.94,-883.668,142.104,-0.0345863,0.0569077,2.74432,-747.361,625.069,445.528
5,0,-0.0163397,0.00539391,0.00469299,921.305,-1222.24,244.627,-0.000291589,-0.000708107,0.00111571,-1329.51,-54.6376,125.239,0.00616458,0.0142745,0.00374247,-1298.11,455.494,218.694,0.000946716,-0.00282465,0.00169127,-1174.24,1195.96,101.494,0.00319183,0.000440199,-0.00183345,-660.324,1902.27,116.599,0.000820758,0.00166932,-0.00126361,284.912,1895.51,185.578,0.00175536,-0.00177024,-0.00230184,951.146,1852.67,157.674,0.000267233,0.000200966,0.00266261,1657.51,1145.43,127.051,-0.000829031,0.000507075,-0.000399832,1598.87,272.896,141.131,0.00373116,0.00414957,0.00490119,1462.73,-696.656,160.457,0.000713828,0.000820955,0.00113921,96.5681,-1065.38,194.245,-0.00297924,0.0100526,-0.000249276,-886.781,-883.708,142.147,-0.034446,0.0563579,2.7443,-747.344,625.041,445.558
6,0,-0.0163626,0.00510869,0.00486813,921.288,-1222.25,244.623,-0.000590368,-0.00051624,0.00137846,-1329.48,-54.6643,125.286,0.00624082,0.0143267,0.00395157,-1298.11,455.463,218.723,0.000740525,-0.000987773,0.00225973,-1174.07,1196,101.599,0.0012069,0.00211645,-0.000380941,-660.467,1902.13,116.719,0.000846472,0.00166817,-0.00103781,284.904,1895.48,185.58,0.00148277,-0.0017404,-0.00220571,951.164,1852.66,157.685,0.000197799,0.000383677,0.00263984,1657.51,1145.4,127.073,-0.000866232,0.000571201,-0.0003401,1598.87,272.859,141.13,0.00371743,0.00421077,0.00494649,1462.72,-696.689,160.52,0.000734448,0.000290033,0.00103067,96.5816,-1065.37,194.202,-0.00280809,0.0105344,0.000473196,-886.507,-883.798,141.924,-0.0345142,0.0567355,2.74424,-747.35,625.022,445.569
7,0,-0.0161022,0.0051063,0.00484637,921.277,-1222.25,244.598,-0.000397188,-0.000695359,0.00119663,-1329.5,-54.6585,125.247,0.00619603,0.0140521,0.0037864,-1298.11,455.479,218.691,0.00123758,-0.00287305,0.00138642,-1174.23,1195.97,101.489,0.00099057,0.00222332,-0.000297514,-660.486,1902.16,116.715,0.000843803,0.0017181,-0.00112471,284.863,1895.51,185.519,0.00164979,-0.00171906,-0.00216982,951.161,1852.68,157.66,0.000933965,0.000748103,0.00248336,1657.57,1145.29,126.998,-0.000820348,0.000504707,-0.000390124,1598.86,272.888,141.11,0.00391211,0.00415452,0.00502279,1462.72,-696.644,160.44,0.000628888,0.000454354,0.00110041,96.5591,-1065.37,194.161,-0.00302074,0.0100615,-0.000359037,-886.819,-883.723,142.111,-0.0347033,0.0569114,2.74426,-747.357,625.041,445.545
8,0,-0.0160765,0.00538603,0.00473881,921.283,-1222.25,244.596,-0.000419762,-0.000821359,0.00109004,-1329.5,-54.6369,125.215,0.0063259,0.0142601,0.00375806,-1298.12,455.517,218.64,0.000615656,-0.00114296,0.00225323,-1174.08,1196.01,101.54,0.00463919,-0.000474289,-0.00252323,-660.29,1902.35,116.395,0.000811657,0.00170755,-0.00106833,284.896,1895.53,185.522,0.00181389,-0.00182894,-0.00223024,951.174,1852.69,157.662,0.000889198,0.000705615,0.00244841,1657.56,1145.33,126.982,-0.000858688,0.000565589,-0.000386907,1598.85,272.9,141.074,0.00330619,0.00426783,0.00511986,1462.73,-696.57,160.314,0.00067152,0.000508661,0.00102255,96.5801,-1065.36,194.132,-0.00293614,0.0102114,-0.000518989,-886.799,-883.717,142.101,-0.0345662,0.0565794,2.74429,-747.354,625.05,445.519
9,0,-0.0161521,0.00526733,0.00479068,921.279,-1222.25,244.597,-0.000510163,-0.000728773,0.00122938,-1329.48,-54.6675,125.256,0.00612794,0.0139961,0.00391672,-1298.11,455.486,218.67,0.000845868,-0.00102639,0.00230572,-1174.07,1196,101.532,0.00427749,-0.000352161,-0.00238643,-660.297,1902.35,116.436,0.000939144,0.00172634,-0.00106863,284.863,1895.51,185.531,0.00179812,-0.00177227,-0.00230503,951.158,1852.71,157.669,0.000902823,0.000748602,0.00246015,1657.55,1145.31,126.996,-0.00100959,0.000511178,-0.000408872,1598.87,272.888,141.074,0.00350814,0.00447193,0.00517249,1462.7,-696.616,160.375,0.000499159,0.00086898,0.00132928,96.5212,-1065.38,194.208,-0.00315216,0.0102296,-0.000598708,-886.798,-883.719,142.089,-0.0346575,0.0567392,2.74429,-747.359,625.06,445.533
