raw_accel_x,raw_accel_y,raw_accel_z,raw_gyro_x,raw_gyro_y,raw_gyro_z,world_accel_x,world_accel_y,yaw,x,y,z,left_encoder_rate,right_encoder_rate,left_motor,right_motor,temp,fpga time,navx time
-0.00952148,-0.0169678,1.01514,-0.12207,-0.0610352,-0.12207,0,0,6.04,-0.185059,-0.0769806,0,0,0,0,0,40.26,642.145,1873745
-0.00854492,-0.0187378,1.01428,0,0,-0.0610352,0,-0.001,0,0,0,0,0,0,0,0,40.26,642.161,1873761
-0.00787354,-0.0192871,1.01782,-0.0610352,-0.12207,0,0.001,-0.002,0,0,0,0,0,0,0,0,40.26,642.174,1873775
-0.00891113,-0.0182495,1.01569,-0.12207,-0.12207,0,0,-0.001,0,0,0,0,0,0,0,0,40.26,642.192,1873790
-0.00933838,-0.0166016,1.01605,0,0,-0.12207,0,0,0,0,0,0,0,0,0,0,40.26,642.213,1873805
-0.00769043,-0.0194092,1.01379,0,0,-0.0610352,0.001,-0.002,0,0,0,0,0,0,0,0,40.26,642.233,1873821
-0.0109253,-0.0172119,1.01715,-0.0610352,-0.183105,0,-0.001,0,0,0,0,0,0,0,0,0,40.26,642.254,1873850
-0.00982666,-0.0176392,1.01996,0.0610352,-0.183105,0,0,0,0,0,0,0,0,0,0,0,40.26,642.272,1873865
-0.00909424,-0.0164795,1.01471,-0.12207,-0.0610352,-0.12207,0,0,0,0,0,0,0,0,0,0,40.26,642.294,1873881
-0.00695801,-0.0164795,1.0155,-0.0610352,-0.0610352,-0.12207,0.002,0,0,0,0,0,0,0,0,0,40.26,642.312,1873910
-0.0111694,-0.0182495,1.01361,-0.0610352,-0.12207,0,-0.001,-0.001,0,0,0,0,0,0,0,0,40.26,642.333,1873925
-0.00830078,-0.0158691,1.01587,-0.0610352,-0.183105,-0.0610352,0,0.001,0,0,0,0,0,0,0,0,40.26,642.353,1873955
-0.00921631,-0.0184326,1.01288,-0.12207,-0.0610352,-0.0610352,0,-0.001,0,0,0,0,0,0,0,0,40.26,642.373,1873970
-0.0114136,-0.0194092,1.00885,0,0.0610352,-0.0610352,-0.002,-0.002,0,0,0,0,0,0,0,0,40.26,642.393,1873985
-0.0109253,-0.0163574,1.01825,0,0.0610352,-0.0610352,-0.001,0,0,0,0,0,0,0,0,0,40.27,642.413,1874015
-0.00921631,-0.0169678,1.01636,0.0610352,0,0,0,0,0,0,0,0,0,0,0,0,40.27,642.433,1874030
-0.00994873,-0.0199585,1.01343,0,0.0610352,-0.12207,0,-0.002,0,0,0,0,0,0,0,0,40.27,642.453,1874045
-0.010498,-0.0199585,1.01678,0,0,-0.0610352,-0.001,-0.002,0,0,0,0,0,0,0,0,40.27,642.473,1874061
-0.0098877,-0.0153809,1.01697,-0.0610352,-0.12207,-0.0610352,0,0.001,0,0,0,0,0,0,0,0,40.27,642.494,1874091
-0.010498,-0.0172119,1.01495,-0.0610352,-0.12207,-0.0610352,-0.001,0,0,0,0,0,0,0,0,0,40.27,642.513,1874106
-0.0101318,-0.017395,1.0141,-0.0610352,-0.0610352,-0.0610352,0,0,0,0,0,0,0,0,0,0,40.27,642.533,1874121
-0.00964355,-0.0178833,1.01471,-0.183105,-0.12207,-0.12207,0,0,0,0,0,0,0,0,0,0,40.27,642.553,1874151
-0.0103149,-0.0175171,1.01544,0,0,-0.12207,-0.001,0,0,0,0,0,0,0,0,0,40.27,642.575,1874166
-0.0088501,-0.0203247,1.01501,-0.0610352,-0.0610352,0,0,-0.003,0,0,0,0,0,0,0,0,40.27,642.593,1874196
-0.0115356,-0.0178223,1.01025,0,0,-0.183105,-0.002,0,0,0,0,0,0,0,0,0,40.27,642.613,1874211
-0.00854492,-0.0155029,1.01611,-0.12207,-0.12207,-0.0610352,0,0.001,0,0,0,0,0,0,0,0,40.27,642.633,1874226
-0.00585938,-0.0150146,1.01648,-0.0610352,-0.12207,-0.0610352,0.003,0.002,0,0,0,0,0,0,0,0,40.27,642.654,1874241
-0.00744629,-0.0179443,1.01642,0,0,-0.12207,0.001,0,0,0,0,0,0,0,0,0,40.27,642.673,1874271
-0.00714111,-0.0187988,1.00787,-0.183105,-0.12207,0,0.002,-0.001,0,0,0,0,0,0,0,0,40.27,642.693,1874286
-0.00878906,-0.0161133,1.01453,0,0,0.0610352,0,0,0,0,0,0,0,0,0,0,40.27,642.719,1874316
-0.00671387,-0.0175781,1.00989,-0.0610352,-0.12207,-0.183105,0.002,0,0,0,0,0,0,0,0,0,40.27,642.733,1874331
-0.0106812,-0.017395,1.01544,0,0,0,-0.001,0,0,0,0,0,0,0,0,0,40.27,642.753,1874346
-0.0067749,-0.0166626,1.01068,-0.0610352,-0.12207,-0.12207,0.002,0,0,0,0,0,0,0,0,0,40.27,642.774,1874376
-0.0114746,-0.0149536,1.01556,0.0610352,0.0610352,-0.0610352,-0.002,0.002,0,0,0,0,0,0,0,0,40.27,642.793,1874391
-0.0101318,-0.0194702,1.01593,-0.0610352,-0.0610352,0.0610352,0,-0.002,0,0,0,0,0,0,0,0,40.27,642.815,1874406
-0.00823975,-0.017395,1.01343,-0.0610352,-0.12207,-0.0610352,0.001,0,0,0,0,0,0,0,0,0,40.27,642.833,1874436
-0.00842285,-0.0177002,1.01428,0.0610352,0,0.0610352,0,0,0,0,0,0,0,0,0,0,40.27,642.853,1874451
-0.00976562,-0.0166626,1.01746,-0.0610352,0,-0.0610352,0,0,0,0,0,0,0,0,0,0,40.27,642.874,1874466
-0.010437,-0.019043,1.0105,0,0,0,0,-0.001,-0.01,0,0,0,0,0,0,0,40.27,642.893,1874496
-0.00787354,-0.0170288,1.01459,-0.0610352,-0.12207,-0.12207,0.001,0,-0.01,0,0,0,0,0,0,0,40.27,642.918,1874511
-0.00842285,-0.0213623,1.01526,0,-0.0610352,-0.12207,0.001,-0.004,-0.01,0,0,0,0,0,0,0,40.3,642.934,1874526
-0.0102539,-0.0144653,1.01306,0,0,0,0,0.002,-0.01,0,0,0,0,0,0,0,40.3,642.956,1874556
-0.0098877,-0.0149536,1.01978,-0.12207,-0.12207,-0.12207,0,0.002,-0.01,0,0,0,0,0,0,0,40.3,642.973,1874571
-0.0111084,-0.0144653,1.01733,0,0.0610352,0,-0.001,0.002,-0.01,0,0,0,0,0,0,0,40.3,642.993,1874586
-0.0088501,-0.0200195,1.01886,-0.12207,-0.0610352,0.0610352,0,-0.002,-0.01,0,0,0,0,0,0,0,40.3,643.013,1874601
-0.0127563,-0.0181885,1.0188,-0.0610352,-0.12207,-0.0610352,-0.003,-0.001,-0.01,0,0,0,0,0,0,0,40.3,643.033,1874631
-0.00823975,-0.0181885,1.01263,-0.0610352,-0.12207,0,0.001,-0.001,-0.01,0,0,0,0,0,0,0,40.3,643.052,1874646
-0.00970459,-0.015625,1.01868,0.0610352,0.0610352,0,0,0.001,-0.01,0,0,0,0,0,0,0,40.3,643.074,1874676
-0.00738525,-0.0178223,1.01031,-0.12207,-0.0610352,-0.0610352,0.002,0,-0.01,0,0,0,0,0,0,0,40.3,643.092,1874691
-0.0115967,-0.0182495,1.01202,-0.0610352,-0.12207,-0.0610352,-0.002,-0.001,-0.01,0,0,0,0,0,0,0,40.3,643.112,1874706
-0.00842285,-0.0184326,1.01007,-0.12207,-0.183105,-0.0610352,0.001,-0.001,-0.01,0,0,0,0,0,0,0,40.3,643.132,1874721
-0.00970459,-0.0169678,1.01385,-0.12207,-0.12207,0,0,0,-0.01,0,0,0,0,0,0,0,40.3,643.153,1874751
-0.00830078,-0.0160522,1.01068,-0.12207,-0.0610352,-0.0610352,0.001,0.001,-0.01,0,0,0,0,0,0,0,40.3,643.176,1874766
-0.00866699,-0.0150757,1.01532,-0.0610352,-0.12207,0,0,0.002,-0.01,0,0,0,0,0,0,0,40.3,643.192,1874781
-0.00946045,-0.015686,1.01581,-0.12207,-0.0610352,-0.0610352,0,0.001,-0.01,0,0,0,0,0,0,0,40.3,643.212,1874811
-0.00909424,-0.0164185,1.01392,-0.244141,-0.0610352,-0.0610352,0,0,-0.01,0,0,0,0,0,0,0,40.3,643.232,1874826
-0.00866699,-0.0172729,1.01007,-0.0610352,-0.183105,-0.0610352,0,0,-0.01,0,0,0,0,0,0,0,40.3,643.252,1874841
-0.00769043,-0.0163574,1.01404,-0.0610352,-0.12207,0,0.001,0,-0.01,0,0,0,0,0,0,0,40.3,643.272,1874871
-0.00946045,-0.0160522,1.01483,0,-0.0610352,-0.12207,0,0.001,-0.01,0,0,0,0,0,0,0,40.3,643.293,1874886
-0.00811768,-0.0187988,1.01984,0,0.0610352,-0.0610352,0.001,-0.001,-0.01,0,0,0,0,0,0,0,40.3,643.312,1874901
-0.0100098,-0.0160522,1.01605,0.12207,0,-0.0610352,0,0.001,-0.02,0,0,0,0,0,0,0,40.3,643.333,1874931
-0.00848389,-0.017395,1.01404,-0.0610352,-0.12207,-0.0610352,0,0,-0.02,0,0,0,0,0,0,0,40.3,643.353,1874946
-0.00952148,-0.0171509,1.01251,-0.12207,-0.0610352,-0.0610352,0,0,-0.02,0,0,0,0,0,0,0,40.3,643.373,1874976
-0.00842285,-0.0178833,1.01538,-0.12207,-0.12207,0.0610352,0,0,-0.02,0,0,0,0,0,0,0,40.3,643.393,1874991
-0.0090332,-0.0146484,1.01221,0.0610352,0,0,0,0.002,-0.02,0,0,0,0,0,0,0,40.3,643.414,1875006
-0.0124512,-0.0178833,1.0163,0,0,-0.12207,-0.003,0,-0.02,0,0,0,0,0,0,0,40.3,643.433,1875022
-0.00958252,-0.0184326,1.01538,-0.0610352,-0.12207,-0.0610352,0,-0.001,-0.02,0,0,0,0,0,0,0,40.29,643.452,1875051
-0.00939941,-0.0143433,1.01007,-0.0610352,-0.244141,-0.12207,0,0.002,-0.02,0,0,0,0,0,0,0,40.29,643.475,1875066
-0.00604248,-0.0174561,1.01935,-0.0610352,-0.12207,-0.0610352,0.003,0,-0.02,0,0,0,0,0,0,0,40.29,643.493,1875082
-0.0101318,-0.0176392,1.01538,-0.12207,-0.183105,-0.0610352,0,0,-0.02,0,0,0,0,0,0,0,40.29,643.513,1875111
-0.0114136,-0.0177612,1.01318,-0.12207,-0.0610352,0.0610352,-0.002,0,-0.02,0,0,0,0,0,0,0,40.29,643.533,1875126
-0.0100098,-0.0192871,1.01038,-0.0610352,-0.12207,-0.12207,0,-0.002,-0.02,0,0,0,0,0,0,0,40.29,643.553,1875142
-0.00854492,-0.0175171,1.01654,-0.12207,0.0610352,0.0610352,0,0,-0.02,0,0,0,0,0,0,0,40.29,643.573,1875171
-0.00817871,-0.0185547,1.01703,-0.0610352,-0.12207,-0.12207,0.001,-0.001,-0.02,0,0,0,0,0,0,0,40.29,643.593,1875186
-0.00891113,-0.0177002,1.01215,-0.0610352,-0.0610352,-0.0610352,0,0,-0.02,0,0,0,0,0,0,0,40.29,643.613,1875202
-0.0114136,-0.015564,1.01752,-0.12207,-0.12207,0,-0.001,0.001,-0.02,0,0,0,0,0,0,0,40.29,643.635,1875231
-0.00891113,-0.0163574,1.01068,-0.0610352,-0.183105,0,0,0,-0.02,0,0,0,0,0,0,0,40.29,643.653,1875246
-0.00878906,-0.0186157,1.01544,0,0,-0.0610352,0,-0.001,-0.02,0,0,0,0,0,0,0,40.29,643.673,1875262
-0.00726318,-0.0179443,1.01178,-0.0610352,-0.244141,0,0.002,0,-0.02,0,0,0,0,0,0,0,40.29,643.693,1875291
-0.0113525,-0.0172119,1.01306,-0.0610352,-0.0610352,-0.0610352,-0.001,0,-0.02,0,0,0,0,0,0,0,40.29,643.713,1875306
-0.00518799,-0.0161133,1.01221,-0.183105,0.0610352,-0.12207,0.004,0,-0.02,0,0,0,0,0,0,0,40.29,643.737,1875336
-0.00872803,-0.0181274,1.0166,0,-0.0610352,-0.0610352,0,0,-0.02,0,0,0,0,0,0,0,40.29,643.753,1875351
-0.0103149,-0.017395,1.01288,-0.12207,-0.0610352,-0.183105,0,0,-0.02,0,0,0,0,0,0,0,40.29,643.774,1875366
-0.00585938,-0.0168457,1.01691,0,-0.0610352,0,0.003,0,-0.02,0,0,0,0,0,0,0,40.29,643.793,1875382
-0.00762939,-0.0157471,1.01691,0,0,-0.12207,0.001,0.001,-0.02,0,0,0,0,0,0,0,40.29,643.813,1875411
-0.0101929,-0.0170898,1.01379,-0.0610352,-0.0610352,0,0,0,-0.02,0,0,0,0,0,0,0,40.29,643.834,1875426
-0.00952148,-0.0195312,1.01447,-0.12207,-0.12207,-0.183105,0,-0.002,-0.02,0,0,0,0,0,0,0,40.29,643.853,1875456
-0.010498,-0.0172729,1.01843,-0.0610352,-0.0610352,-0.0610352,-0.001,0,-0.02,0,0,0,0,0,0,0,40.29,643.873,1875471
-0.0065918,-0.0153809,1.01324,-0.0610352,-0.183105,-0.12207,0.002,0.001,-0.02,0,0,0,0,0,0,0,40.29,643.893,1875486
-0.0100098,-0.0169067,1.01093,-0.12207,-0.0610352,0,0,0,-0.02,0,0,0,0,0,0,0,40.29,643.913,1875502
-0.00994873,-0.0158081,1.01282,0,0,0,0,0.001,-0.02,0,0,0,0,0,0,0,40.29,643.933,1875532
-0.00866699,-0.0120239,1.01227,-0.0610352,0,-0.0610352,0,0.005,-0.02,0,0,0,0,0,0,0,40.25,643.952,1875547
-0.00805664,-0.0132446,1.0127,0,0,-0.12207,0.001,0.003,-0.02,0,0,0,0,0,0,0,40.25,643.974,1875577
-0.00805664,-0.0159912,1.00897,-0.0610352,-0.0610352,0,0.001,0,-0.02,0,0,0,0,0,0,0,40.25,643.992,1875592
-0.00830078,-0.0192871,1.01343,-0.0610352,-0.0610352,0,0.001,-0.002,-0.02,0,0,0,0,0,0,0,40.25,644.014,1875607
-0.00842285,-0.0172119,1.01837,-0.12207,-0.12207,-0.12207,0.001,0,-0.02,0,0,0,0,0,0,0,40.25,644.033,1875622
-0.00830078,-0.0172119,1.00928,-0.0610352,-0.12207,-0.0610352,0.001,0,-0.02,0,0,0,0,0,0,0,40.25,644.053,1875652
-0.0115356,-0.0182495,1.01788,-0.0610352,-0.0610352,-0.12207,-0.002,-0.001,-0.02,0,0,0,0,0,0,0,40.25,644.072,1875667
-0.00915527,-0.0178833,1.01306,0,-0.0610352,-0.12207,0,0,-0.02,0,0,0,0,0,0,0,40.25,644.092,1875682
