left_ticks,right_ticks,time_s,time_ns
20775,14041,1521301110,821799794
20775,14041,1521301110,845795711
20775,14041,1521301110,869791061
20775,14041,1521301110,893734880
20775,14041,1521301110,917790747
20775,14041,1521301110,941721796
20775,14041,1521301110,965713314
20775,14041,1521301110,989709702
20775,14041,1521301111,13711205
20775,14041,1521301111,37712726
20775,14041,1521301111,61709268
20775,14041,1521301111,81733829
20775,14041,1521301111,105702516
20775,14041,1521301111,129706489
20775,14041,1521301111,153712950
20775,14041,1521301111,181744686
20775,14041,1521301111,205711293
20775,14041,1521301111,229768029
20775,14041,1521301111,253710447
20775,14041,1521301111,277699820
20775,14041,1521301111,301712952
20775,14041,1521301111,325710923
20775,14041,1521301111,349732101
20775,14041,1521301111,377701309
20775,14041,1521301111,401708011
20775,14041,1521301111,425708176
20775,14041,1521301111,453700390
20775,14041,1521301111,477680662
20775,14041,1521301111,501716955
20775,14041,1521301111,529710837
20775,14041,1521301111,553717617
20775,14041,1521301111,577707337
20775,14041,1521301111,601709133
20775,14041,1521301111,625709766
20775,14041,1521301111,649723098
20775,14041,1521301111,673723767
20775,14041,1521301111,701773405
20775,14041,1521301111,729782858
20775,14041,1521301111,753729724
20775,14041,1521301111,777722385
20775,14041,1521301111,801709991
20775,14041,1521301111,829711200
20775,14041,1521301111,857736209
20775,14041,1521301111,881730727
20775,14041,1521301111,905740446
20775,14041,1521301111,929709412
20775,14041,1521301111,953721407
20775,14041,1521301111,977699140
20775,14041,1521301112,1739773
20775,14041,1521301112,25713674
20775,14041,1521301112,49710525
20775,14041,1521301112,73707573
20775,14041,1521301112,97716145
20775,14041,1521301112,121708929
20775,14041,1521301112,145695266
20775,14041,1521301112,169745050
20775,14041,1521301112,193701423
20775,14041,1521301112,213764489
20775,14041,1521301112,237678248
20775,14041,1521301112,261716122
20775,14041,1521301112,285722144
20775,14041,1521301112,309692956
20775,14041,1521301112,333714508
20775,14041,1521301112,357734252
20775,14041,1521301112,381710698
20775,14041,1521301112,405680379
20775,14041,1521301112,433718699
20775,14041,1521301112,457739666
20775,14041,1521301112,481936594
20775,14041,1521301112,505723778
20775,14041,1521301112,529711642
20775,14041,1521301112,553713094
20775,14041,1521301112,581708103
20775,14041,1521301112,605724272
20775,14041,1521301112,629705304
20775,14041,1521301112,653718853
20775,14041,1521301112,677706593
20775,14041,1521301112,701718101
20775,14041,1521301112,725709397
20775,14041,1521301112,749672269
20775,14041,1521301112,773714980
20775,14041,1521301112,797716006
20775,14041,1521301112,821709488
20775,14041,1521301112,845706703
20808,14072,1521301112,873709967
20808,14072,1521301112,897755868
20864,14125,1521301112,925710303
20864,14125,1521301112,949684983
20864,14125,1521301112,973709999
20915,14177,1521301112,997700078
20915,14177,1521301113,21716265
20979,14238,1521301113,45714892
20979,14238,1521301113,69709416
20979,14238,1521301113,93711069
21064,14319,1521301113,121710546
21064,14319,1521301113,145674814
21170,14424,1521301113,169708516
21170,14424,1521301113,201739007
21275,14526,1521301113,225700062
21275,14526,1521301113,249690659
21275,14526,1521301113,273711653
21383,14631,1521301113,297710675
21383,14631,1521301113,325781475
21491,14737,1521301113,349697615
21491,14737,1521301113,373700096
21596,14842,1521301113,397701637
21596,14842,1521301113,425694025
21596,14842,1521301113,449698775
21706,14947,1521301113,481709148
21706,14947,1521301113,505708779
21817,15053,1521301113,529701309
21817,15053,1521301113,553721575
21925,15159,1521301113,577700837
21925,15159,1521301113,605711343
21925,15159,1521301113,629708755
22035,15267,1521301113,653712333
22035,15267,1521301113,681697194
22144,15375,1521301113,705701916
22180,15412,1521301113,729721956
22180,15412,1521301113,757707863
22292,15519,1521301113,781709796
