Objects
100
,,Global Angle phil_tag_0:phil_tag_0,,,,,,Global Angle phil_tag_14:phil_tag_14,,,,,,Global Angle phil_tag_16:phil_tag_16,,,,,,Global Angle phil_tag_20:phil_tag_20,,,,,,Global Angle phil_tag_24:phil_tag_24,,,,,,Global Angle phil_tag_30:phil_tag_30,,,,,,Global Angle phil_tag_32:phil_tag_32,,,,,,Global Angle phil_tag_36:phil_tag_36,,,,,,Global Angle phil_tag_40:phil_tag_40,,,,,,Global Angle phil_tag_44:phil_tag_44,,,,,,Global Angle phil_tag_4:phil_tag_4,,,,,,Global Angle phil_tag_8:phil_tag_8,,,,,,Global Angle phil_turtlebot:phil_turtlebot,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.0186788,0.00321748,0.00280858,921.161,-1221.75,244.461,0.000448601,0.000211927,0.000987517,-1329.58,-54.6444,125.171,0.0051696,0.0183045,0.00350477,-1296.66,454.979,219.239,-0.0002935,-0.00186215,0.00241043,-1174.16,1195.66,101.454,0.00294602,-0.000365375,-0.00214763,-659.759,1901.68,116.02,0.00419195,-9.39846e-005,0.00521217,285.841,1891.44,185.47,0.00151253,-0.00147632,-0.00263482,951.093,1852.5,157.575,0.000634366,0.00166129,0.00274869,1657.63,1145.34,127.06,-0.00289835,-0.00334072,-0.00359699,1598.33,272.97,141.353,0.00253057,0.00351091,0.00432707,1462.6,-696.748,160.271,0.00132095,0.00103709,0.000751023,96.5613,-1065.52,194.219,-0.00373581,0.00367452,0.00105384,-887.772,-883.706,141.422,-0.0302334,0.0103974,2.79301,1065.96,605.478,472.11
2,0,-0.0186298,0.00327022,0.00275936,921.122,-1221.75,244.436,0.000477986,0.000181061,0.000857302,-1329.58,-54.629,125.135,0.00499437,0.0185446,0.00373658,-1296.66,454.993,219.199,-0.000306676,-0.00209995,0.00234415,-1174.18,1195.63,101.401,0.00307739,-0.000372409,-0.00229481,-659.772,1901.69,115.985,0.00437387,2.40781e-005,0.00538266,285.829,1891.46,185.435,0.00186354,-0.00164426,-0.0027827,951.053,1852.51,157.546,0.000634103,0.00156528,0.00269219,1657.62,1145.34,127.037,-0.00281915,-0.00344872,-0.00359417,1598.29,273.02,141.299,0.00246141,0.00336175,0.00409662,1462.61,-696.734,160.224,0.00125916,0.000973011,0.000747667,96.5472,-1065.52,194.164,-0.00373145,0.00369281,0.000644161,-887.811,-883.688,141.395,-0.0303453,0.0106865,2.79296,1065.95,605.484,472.08
3,0,-0.0191032,0.00370137,0.0027445,921.358,-1221.78,244.576,0.000534544,0.000298098,0.000936274,-1329.59,-54.6181,125.172,0.00532274,0.0183029,0.0036416,-1296.69,454.939,219.274,-0.000278365,-0.00179716,0.00229729,-1174.17,1195.65,101.437,0.00296973,-0.000523095,-0.00227984,-659.772,1901.7,116.039,0.00446308,-0.000216355,0.00513264,285.854,1891.48,185.528,0.00179413,-0.00174227,-0.00291429,951.054,1852.5,157.581,0.000675434,0.00153688,0.00274928,1657.62,1145.33,127.084,-0.00266111,-0.00346361,-0.00357474,1598.3,273.009,141.344,0.00241363,0.003209,0.00414575,1462.61,-696.734,160.259,0.00120701,0.000866493,0.000851277,96.5753,-1065.52,194.225,-0.00369067,0.00367098,0.000757548,-887.748,-883.688,141.439,-0.0303569,0.0106825,2.79288,1065.95,605.491,472.106
4,0,-0.0186834,0.00318848,0.00269478,921.164,-1221.75,244.475,0.000152856,0.000710162,0.00140581,-1329.58,-54.6757,125.223,0.00495761,0.0183829,0.0036451,-1296.68,454.975,219.229,-0.000329441,-0.00192027,0.00233483,-1174.17,1195.6,101.453,0.00307057,-0.000372532,-0.00215211,-659.772,1901.68,116.041,0.00410009,-0.000163093,0.00510499,285.861,1891.43,185.51,0.00160552,-0.00142436,-0.00249301,951.075,1852.46,157.602,0.00124066,0.00180757,0.00206405,1657.64,1145.14,127.1,-0.00282468,-0.00352747,-0.00359996,1598.31,272.963,141.381,0.00257054,0.00331641,0.00431356,1462.6,-696.79,160.335,0.00127023,0.000955771,0.000793106,96.5954,-1065.53,194.249,-0.00378804,0.00356886,0.000664853,-887.727,-883.703,141.482,-0.0302972,0.0106088,2.79299,1065.97,605.48,472.132
5,0,-0.0188103,0.00315772,0.00272383,921.151,-1221.76,244.457,0.000271168,0.000258299,0.00114388,-1329.58,-54.6648,125.188,0.0053013,0.0183099,0.00374947,-1296.69,454.907,219.29,-0.00029538,-0.00187251,0.00237254,-1174.18,1195.61,101.454,0.00240588,-0.0011963,-0.00194435,-659.915,1901.72,116.104,0.00434907,3.98328e-006,0.00527515,285.83,1891.45,185.468,0.00194915,-0.00157882,-0.002569,951.043,1852.48,157.563,0.000822113,0.00165682,0.00270481,1657.63,1145.32,127.103,-0.00279377,-0.00347665,-0.00358824,1598.31,272.974,141.347,0.00247339,0.00329142,0.00428861,1462.6,-696.761,160.266,0.00121235,0.000888821,0.000744978,96.5459,-1065.54,194.21,-0.00375622,0.00356417,0.000903355,-887.779,-883.724,141.445,-0.030231,0.010562,2.7929,1065.96,605.509,472.115
6,0,-0.0187011,0.00315798,0.00273974,921.139,-1221.74,244.435,0.000429793,0.000370686,0.000965495,-1329.57,-54.6159,125.173,0.00522307,0.0182278,0.00325473,-1296.63,454.974,219.261,-0.000390863,-0.0020123,0.00239711,-1174.15,1195.64,101.477,0.00299415,-0.000474762,-0.00215548,-659.791,1901.7,116.018,0.00436457,-0.000182586,0.00524702,285.849,1891.46,185.463,0.00184966,-0.00163152,-0.00272686,951.056,1852.51,157.575,0.000835778,0.00160649,0.0026333,1657.61,1145.3,127.116,-0.00277503,-0.00337679,-0.00349945,1598.3,272.989,141.355,0.0024452,0.00337853,0.00421804,1462.58,-696.768,160.29,0.00130999,0.00103654,0.000638633,96.5555,-1065.52,194.216,-0.00367053,0.00381412,0.000741944,-887.78,-883.716,141.423,-0.0303283,0.0107338,2.79287,1065.97,605.544,472.112
7,0,-0.0185073,0.00333232,0.0027108,921.135,-1221.73,244.438,0.000477191,0.000234093,0.00088898,-1329.6,-54.6174,125.139,0.00534043,0.0183716,0.00385161,-1296.68,454.936,219.262,-0.000350887,-0.00181465,0.00230995,-1174.14,1195.67,101.452,0.00266436,-0.00129467,-0.00236255,-659.894,1901.74,116.126,0.00423455,-0.00024322,0.00529554,285.879,1891.46,185.498,0.00179584,-0.00161579,-0.00266642,951.047,1852.48,157.608,0.000821988,0.00161779,0.00267227,1657.65,1145.32,127.114,-0.00275072,-0.00346299,-0.00351409,1598.31,272.998,141.345,0.0025057,0.00346294,0.00429052,1462.6,-696.768,160.287,0.00134518,0.000747801,0.000703638,96.5707,-1065.52,194.219,-0.00370566,0.00359857,0.000734691,-887.74,-883.701,141.43,-0.0303392,0.0106159,2.79285,1065.98,605.57,472.101
8,0,-0.0189515,0.00323105,0.00280279,921.136,-1221.75,244.45,0.000393235,0.000224504,0.000948292,-1329.58,-54.6045,125.145,0.00494875,0.0184152,0.00376663,-1296.67,455.016,219.202,-0.000302013,-0.00194256,0.0022439,-1174.16,1195.68,101.432,0.00251365,-0.00106821,-0.00208499,-659.898,1901.75,116.081,0.00435806,-9.17275e-005,0.00537598,285.831,1891.47,185.465,0.00184911,-0.00165609,-0.00292886,951.033,1852.51,157.562,0.00108487,0.00116012,0.00246268,1657.61,1145.3,127.131,-0.00289258,-0.00332103,-0.00346107,1598.3,272.991,141.305,0.00249532,0.00322594,0.00407659,1462.6,-696.755,160.222,0.0012606,0.00103378,0.000796184,96.5425,-1065.51,194.191,-0.00371191,0.0037426,0.000886429,-887.787,-883.682,141.418,-0.0302381,0.0108337,2.7929,1065.96,605.623,472.083
9,0,-0.0188705,0.00322073,0.00275703,921.128,-1221.74,244.464,0.000299102,0.00055344,0.0010433,-1329.57,-54.6198,125.201,0.00539241,0.0184835,0.00367172,-1296.68,454.95,219.283,-0.000250146,-0.002018,0.00238136,-1174.17,1195.64,101.47,0.00294045,-0.000237743,-0.00216281,-659.78,1901.69,116.063,0.00459456,-0.00013227,0.00530883,285.863,1891.48,185.506,0.00167258,-0.00155953,-0.00284823,951.057,1852.49,157.569,0.000772564,0.000507616,0.00258583,1657.53,1145.24,127.058,-0.002778,-0.00342102,-0.00351627,1598.29,272.97,141.349,0.00237028,0.00322829,0.00419932,1462.61,-696.753,160.271,0.00127864,0.000854066,0.000808884,96.5389,-1065.53,194.253,-0.00372632,0.00367275,0.000856248,-887.79,-883.688,141.477,-0.0302255,0.0105369,2.79286,1065.96,605.639,472.102
